Spp Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
 Pseudodiploria strigosa,0.002391301,0.001687241,0.000586571,0.000430865,0.000521072,0.000843421,0.000885881,0.000868317,0.000467111,0.00074255,0.000838421,0.000382065,0.00053335,0.000742048,0.000762724,0.000515438,0.001167825,0.000764538,0.000730449,0.000649882
 Undaria agaricites complex,0.001139715,0.000934664,0.000390734,0.000295223,0.000519947,0.00079221,0.000656141,0.000614584,0.000446082,0.000492037,0.000241478,0.000290708,0.000470155,0.00033138,0.000540861,0.000952077,0.000808181,0.001063192,0.00105578,0.000535793
 Stephanocoenia intersepta,0.000270384,0.000137593,0.00017457,0.000117018,0.000284341,0.000651529,0.0006266,0.000679294,0.000657559,0.000874904,0.000628114,0.000340352,0.000637897,0.000951278,0.001133416,0.001845875,0.002001143,0.001874315,0.002310229,0.00236085
 Solenastrea bournoni,0.000102711,0.00013881,0.000297646,0.000129344,0.000117449,7.76667E-05,0.000110815,8.70013E-05,4.28431E-05,0.000190927,0.000224877,0.000122604,0.000141315,9.07934E-05,0.000246234,0.000184929,9.09356E-05,0.000184968,0.000294406,0.000259537
 Siderastrea siderea,0.008652062,0.00824403,0.008577185,0.00750214,0.009071288,0.009116638,0.009719581,0.006255678,0.005911641,0.006221054,0.005984417,0.006102411,0.006323463,0.008356548,0.008177973,0.009574777,0.009741472,0.00988546,0.011287232,0.011525741
 Siderastrea radians,0.000297707,0.000170026,0.000161188,8.92813E-05,0.000126448,0.000138802,3.77553E-05,4.24475E-05,0.000017225,9.68959E-05,8.95835E-05,3.44435E-05,0.000040782,8.34452E-05,4.38603E-05,0.000030168,6.62666E-05,3.15175E-05,2.96033E-05,2.12104E-05
 Scolymia sp_,0,0,1.05219E-05,0,9.82087E-06,1.05585E-05,0,0,1.00381E-05,8.72966E-06,0,0,5.76249E-06,4.42885E-06,0,5.22158E-06,4.02431E-06,1.21106E-05,0,4.27524E-06
 Scleractinia,0.005277701,0.003105726,0.000954454,0.002271527,0.001774332,0.001078244,0.00049823,0.00093585,0.000560123,0.000459815,0.000531131,0.000246009,0.000239116,5.88168E-05,0.000110043,2.52529E-05,0.000108951,7.53854E-05,4.20661E-05,3.38217E-05
 Porites astreoides,0.005424208,0.006464452,0.006436323,0.005645686,0.0070703,0.006364627,0.006931974,0.005133791,0.004002589,0.003999194,0.003956526,0.003084072,0.003477827,0.003996575,0.003269137,0.004024502,0.00498263,0.004649999,0.004849836,0.004726002
 Pseudodiploria clivosa,0.000376351,0.00056232,0.000474171,0.000595454,0.000378388,0.000507799,0.000375498,0.000299288,0.000481938,0.000182722,0.000669286,0.001124755,0.000993537,0.000946965,0.000766444,0.000863816,0.000508192,0.000627374,0.000873954,0.00081686
 Porites porites complex,0.001273317,0.00136744,0.000806233,0.000344343,0.000503433,0.000520983,0.000516481,0.000724193,0.00071441,0.000624089,0.000389253,0.000417653,0.000489886,0.001033267,0.001054754,0.001101774,0.0013077,0.000976179,0.001236543,0.001011744
 Isophyllia rigida,0,1.06474E-05,0,0,0,0,0,0,0,0,2.56709E-05,0,0,0,0,0,4.52221E-06,0,0,0
 Orbicella annularis complex,0.034582617,0.036855217,0.030978945,0.029491152,0.027266416,0.03149844,0.030264526,0.025032701,0.021330635,0.022069143,0.019940476,0.020075708,0.019944556,0.025775499,0.014447599,0.014632014,0.01493736,0.014844112,0.014029777,0.012547982
 Oculina robusta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72643E-06,8.36988E-06,2.16688E-05,3.06111E-05,0.000011563,0
 Oculina diffusa,0.000129592,0.000156019,0.000273928,0.000286279,0.000296394,0.000573352,0.000660809,0.000560898,0.000381153,0.000602245,0.000390275,0.000393778,0.00021697,0.000130971,0.000124911,0.00016468,0.00016136,9.76703E-05,5.78173E-05,7.23502E-05
 Mycetophyllia lamarckiana complex,0.000221753,0.000272773,0.000302443,7.73212E-05,0.000242917,4.51637E-05,0.000170521,9.02185E-06,2.56105E-05,3.61578E-05,2.88802E-05,0.000108358,9.86216E-05,0.000116757,0.000113404,0.00010724,0.000104114,0.000138004,8.36008E-05,5.91683E-05
 Mycetophyllia ferox,9.46445E-05,9.27644E-05,7.52114E-05,0.000155493,0.000107998,7.70201E-05,9.82268E-05,0.000091035,0.000127851,0.000119947,0.000019512,7.82567E-05,1.23787E-05,0.000061337,0.000160666,0.000114997,5.60158E-05,2.11725E-05,0.000119688,8.39478E-05
 Mycetophyllia aliciae,8.23101E-05,0.000107578,8.82529E-05,0.000119863,0.000108037,0.000165386,0.000131904,0.000101778,0.000159015,6.18225E-05,0.000171283,7.37983E-05,0.00014566,0.000311803,0.000101623,0.000112992,0.000127291,0.000115747,7.78709E-05,0.000123599
 Montastraea cavernosa,0.013392489,0.012614738,0.011825113,0.013100011,0.012970228,0.013181558,0.013578833,0.014107771,0.01119707,0.010896304,0.01070661,0.010513047,0.009675956,0.013231194,0.011291334,0.012391505,0.012446561,0.01132892,0.011498238,0.011056848
 Mussa angulosa,5.15177E-05,4.34794E-05,0.000061335,9.85416E-06,5.99582E-05,3.52473E-05,0,3.96649E-05,1.74034E-05,4.39314E-05,1.66796E-05,0,4.31752E-05,5.39466E-05,0,1.30402E-05,0.000060578,2.02818E-05,2.13489E-05,2.60091E-05
 Meandrina meandrites,0.000420673,0.00028129,0.000249823,0.000080283,0.0003285,0.000354462,0.000379005,0.00041662,0.000597468,0.000406756,0.000403966,0.000463301,0.000393915,0.000563992,0.000813108,0.000575536,0.000520199,0.000729007,0.000772951,0.000657713
 Millepora complanata,0.007702734,0.006168494,0.004448701,0.000385495,0.000287392,0.000166969,0.000217537,0.000284073,0.000246472,6.68324E-05,5.12352E-05,0.00026118,0.000251497,0.00017673,0.00024995,0.000276376,0.00017147,0.000218762,0.000244613,8.54006E-05
 Millepora alcicornis,0.004557211,0.005838877,0.004082634,0.003820195,0.002803074,0.003086713,0.003410136,0.003063919,0.002942643,0.00326464,0.00218813,0.002710335,0.003693125,0.004444734,0.00501494,0.006275834,0.006484807,0.005641735,0.006119525,0.00475698
 Madracis decactis complex,2.88646E-05,5.52866E-05,5.30201E-05,0,9.97248E-06,1.18861E-05,0,2.87391E-05,2.64029E-05,0,0,1.82496E-05,5.39584E-06,9.53652E-06,4.52775E-05,0.000067947,7.03251E-05,4.17729E-05,0.000064092,4.70215E-05
 Manicina areolata,2.09732E-05,3.18653E-05,0,0,0,0,1.31695E-05,0,0,0,0,0,0,0,0,1.26841E-05,8.61509E-06,4.02253E-06,3.93264E-06,3.43569E-05
 Madracis aurentenra,7.67813E-06,0.000116387,4.55541E-05,0.000012722,0,0,1.46103E-05,5.78519E-05,0,0,1.90665E-05,6.1736E-06,2.52301E-05,2.47666E-05,4.05769E-05,2.34558E-05,4.47663E-05,0.000040693,0.000111006,0.000057283
 Isophyllia sinuosa,0,0,1.10816E-05,0,0,0,0,0,0,0,0,0,0,0.000024256,0,1.26248E-05,0,0,1.24886E-05,0
 Acropora cervicornis,0.001972188,0.00184516,0.000717984,0.001430197,0.001105348,0.001095767,0.001354537,0.009095876,0.009972944,0.008947202,0.005846015,0.006795989,0.007307199,0.005373768,0.004183002,0.00251278,0.002479013,0.001728736,0.002359111,0.001728133
 Helioseris cucullata,0,3.36345E-05,0,1.18895E-05,1.00762E-05,0,1.44375E-05,0,0,0,0,0,0,1.84723E-05,0,4.26103E-06,8.52206E-06,1.16194E-05,0,0
 Acropora palmata,0.010034891,0.008467523,0.00675044,0.001302651,0.001292176,0.00094672,0.001967849,0.000915231,0.002094021,0.001560582,0.000539073,0.000752822,0.000687229,0.000805674,0.0008441,0.000902366,0.000988963,0.001131876,0.001331551,0.000948652
