YEAR,abundance_mean,abundance_n,abundance_sd,abundance_se,abundance_min,abundance_max
1994,247420.49745279254,20,761544.2227461152,170286.4649932555,0,2474204.9745279253
1995,29694.374752615022,20,81085.713089246,18131.316647159852,0,265652.8141353051
1996,15098.167892369509,20,46471.180241154754,10391.271801386709,0,150981.6789236951
1997,103126.22555390523,20,290372.72767262923,64929.315788803324,0,948992.5897112924
1998,3011.69133773471,30,9042.62088882398,1650.9491465921028,0,34999.94037416436
1999,2725.422055852772,30,10371.926068366365,1893.645957473376,0,40881.330837791575
2000,188977.90326784286,30,481085.4562692593,87833.78549544615,0,1476957.8718927891
2001,4218713.112442355,30,10624752.419416694,1939805.5226740376,0,45626194.84940214
2002,4298392.558804557,30,8410135.480324185,1535473.6380827003,0,31081396.59618212
2003,20703485.235122833,30,42397186.58155259,7740631.821823898,0,138828753.82219118
2004,41336588.75949236,30,104803315.30208118,19134379.964092072,0,385103330.2918353
2005,970375.1336008046,30,2906783.83895271,530703.6927952877,0,11434206.695142346
2006,495736.4127083284,30,1273155.8199273234,232445.38726439342,0,4346529.916736122
2007,349303.51760501164,30,1247022.6202884007,227674.13961705216,0,4954189.908186251
2008,328054.3032382526,30,863713.5825357808,157691.80412614907,0,3294112.0352154695
2009,1307478.0992710935,30,2454467.2471551774,448122.35930816614,0,8984715.366335101
2010,673612.6481331213,30,2238922.097965938,408769.3791842452,0,9007834.960191924
2011,4128809.3509570784,30,11711478.674845777,2138213.683984581,0,46486323.66324171
2012,1771661.0074493452,30,4233572.974888817,772941.1390636192,0,15834458.906702833
2014,949885.4238052312,18,1100341.6806955305,259353.0213473375,0,3151894.387916144
2016,2144579.958899265,15,4872128.483727352,1257978.1652039217,0,14276583.745619819
