YEAR,REGION,SPECIES_CD,biomass,var,n,nm,N,NM
1999,FLA KEYS,ANC LYOL,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,ATH STIP,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,CHR ATHE,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,HAR HUME,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,HAR JAGU,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,HEM BRAS,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,HYP HARR,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,INE VITT,9.068871603152009e-4,8.185728823307461e-7,161,440,16893,3823793.000748641
1999,FLA KEYS,JEN SPE.,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,SAR AURI,0,0,161,440,16893,3823793.000748641
2000,FLA KEYS,ANC LYOL,1.9094185705275976e-5,1.60938447004777e-10,228,527,16893,3823793.000748641
2000,FLA KEYS,ATH STIP,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,CHR ATHE,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,HAR HUME,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,HAR JAGU,1.8741896117674392e-4,2.8506497632768297e-8,228,527,16893,3823793.000748641
2000,FLA KEYS,HEM BRAS,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,HYP HARR,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,INE VITT,3.0257918413108482e-6,9.549990046205153e-12,228,527,16893,3823793.000748641
2000,FLA KEYS,JEN SPE.,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,SAR AURI,0,0,228,527,16893,3823793.000748641
2001,FLA KEYS,ANC LYOL,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,ATH STIP,0.002537906415124581,1.744705173469855e-6,305,742,16893,3823793.000748641
2001,FLA KEYS,CHR ATHE,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,HAR HUME,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,HAR JAGU,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,HEM BRAS,8.57048773761649e-6,6.997539515696433e-11,305,742,16893,3823793.000748641
2001,FLA KEYS,HYP HARR,0.005561122272997357,2.8038017934100458e-5,305,742,16893,3823793.000748641
2001,FLA KEYS,INE VITT,9.516987339150785e-5,9.05999966389593e-9,305,741,16893,3823793.000748641
2001,FLA KEYS,JEN SPE.,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,SAR AURI,0,0,305,742,16893,3823793.000748641
2002,FLA KEYS,ANC LYOL,9.782845246450015e-4,6.016135127407417e-7,356,669,16893,3823793.000748641
2002,FLA KEYS,ATH STIP,9.264744536656334e-4,6.872066933174904e-7,356,669,16893,3823793.000748641
2002,FLA KEYS,CHR ATHE,0,0,356,669,16893,3823793.000748641
2002,FLA KEYS,HAR HUME,0,0,356,669,16893,3823793.000748641
2002,FLA KEYS,HAR JAGU,0,0,356,669,16893,3823793.000748641
2002,FLA KEYS,HEM BRAS,4.4956737303334624e-4,2.0268709399484288e-7,356,669,16893,3823793.000748641
2002,FLA KEYS,HYP HARR,8.18752124111727e-4,5.708800901754516e-7,356,669,16893,3823793.000748641
2002,FLA KEYS,INE VITT,2.3752966798500587e-4,5.299392918173361e-8,356,669,16893,3823793.000748641
2002,FLA KEYS,JEN SPE.,5.2066183145756345e-5,9.543457840029749e-10,356,669,16893,3823793.000748641
2002,FLA KEYS,SAR AURI,0,0,356,669,16893,3823793.000748641
2003,FLA KEYS,ANC LYOL,0,0,237,434,16893,3823793.000748641
2003,FLA KEYS,ATH STIP,0.004355952402899704,1.896315730712262e-5,237,434,16893,3823793.000748641
2003,FLA KEYS,CHR ATHE,0,0,237,434,16893,3823793.000748641
2003,FLA KEYS,HAR HUME,0,0,237,434,16893,3823793.000748641
2003,FLA KEYS,HAR JAGU,0,0,237,434,16893,3823793.000748641
2003,FLA KEYS,HEM BRAS,0.004963478712199981,1.1732650723461801e-5,237,434,16893,3823793.000748641
2003,FLA KEYS,HYP HARR,0.004871318625619859,1.0108903142134841e-5,237,434,16893,3823793.000748641
2003,FLA KEYS,INE VITT,0.0370499121830761,0.0010598428749250726,237,434,16893,3823793.000748641
2003,FLA KEYS,JEN SPE.,4.0232925960824564e-4,1.0996496265501086e-7,237,434,16893,3823793.000748641
2003,FLA KEYS,SAR AURI,7.369492899225195e-4,5.452600596628427e-7,237,434,16893,3823793.000748641
2004,FLA KEYS,ANC LYOL,0.004574561792206025,2.08645857412103e-5,127,244,16771,3796177.8497339403
2004,FLA KEYS,ATH STIP,2.3075436482290169e-4,5.3270093796437505e-8,127,244,16771,3796177.8497339403
2004,FLA KEYS,CHR ATHE,0,0,127,244,16771,3796177.8497339403
2004,FLA KEYS,HAR HUME,0,0,127,244,16771,3796177.8497339403
2004,FLA KEYS,HAR JAGU,3.9847106006078416e-4,1.0298704184331958e-7,127,244,16771,3796177.8497339403
2004,FLA KEYS,HEM BRAS,9.483319499738932e-4,8.942165940429721e-7,127,244,16771,3796177.8497339403
2004,FLA KEYS,HYP HARR,0.02404430803914074,3.430778172728644e-4,127,244,16771,3796177.8497339403
2004,FLA KEYS,INE VITT,0.0011823594425522338,1.0675944968921452e-6,127,244,16771,3796177.8497339403
2004,FLA KEYS,JEN SPE.,7.360704722854998e-4,5.420288521335667e-7,127,244,16771,3796177.8497339403
2004,FLA KEYS,SAR AURI,3.479004095809212e-5,1.2101627771093374e-9,127,244,16771,3796177.8497339403
2005,FLA KEYS,ANC LYOL,0,0,256,498,16893,3823793.000748641
