YEAR,REGION,SPECIES_CD,biomass,var,n,nm,N,NM
1999,FLA KEYS,CEP CRUE,0.020562227188032568,1.7331785756728476e-5,161,424,16893,3823793.000748641
1999,FLA KEYS,CEP FULV,0.002725812372507357,2.3160369420959e-6,161,440,16893,3823793.000748641
1999,FLA KEYS,DER INER,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,EPI FLAV,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,EPI ITAJ,0,0,161,439,16893,3823793.000748641
1999,FLA KEYS,EPI MORI,0.07694980251166628,3.8820780763052057e-4,161,436,16893,3823793.000748641
1999,FLA KEYS,EPI NIVE,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,EPI STRI,0.0076503512211236165,1.689204941736493e-5,161,440,16893,3823793.000748641
1999,FLA KEYS,MYC ACUT,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,MYC BONA,0.08736589514001353,0.0010058741797075916,161,428,16893,3823793.000748641
1999,FLA KEYS,MYC INTE,9.620042893075357e-4,9.251734750910471e-7,161,439,16893,3823793.000748641
1999,FLA KEYS,MYC MICR,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,MYC PHEN,0.0020326834495763128,1.2829869966390405e-6,161,440,16893,3823793.000748641
1999,FLA KEYS,MYC TIGR,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,MYC VENE,0.001443824370604319,2.0803425267030654e-6,161,440,16893,3823793.000748641
2000,FLA KEYS,CEP CRUE,0.017196495808868874,7.2302007936303e-6,228,515,16893,3823793.000748641
2000,FLA KEYS,CEP FULV,0.0010751062971929798,6.201948068611372e-7,228,526,16893,3823793.000748641
2000,FLA KEYS,DER INER,2.817735156573729e-4,7.883873164295995e-8,228,527,16893,3823793.000748641
2000,FLA KEYS,EPI FLAV,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,EPI ITAJ,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,EPI MORI,0.10685462241313254,3.7160366756594667e-4,228,520,16893,3823793.000748641
2000,FLA KEYS,EPI NIVE,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,EPI STRI,0.005082923904774153,1.5814179367576837e-5,228,527,16893,3823793.000748641
2000,FLA KEYS,MYC ACUT,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,MYC BONA,0.09890831519827394,4.50180386870613e-4,228,521,16893,3823793.000748641
2000,FLA KEYS,MYC INTE,0.0021229798184531847,4.4644710979077126e-6,228,527,16893,3823793.000748641
2000,FLA KEYS,MYC MICR,0.003214635379257762,3.9516002873298705e-6,228,527,16893,3823793.000748641
2000,FLA KEYS,MYC PHEN,0.0023993449282919107,1.3293107832323976e-6,228,524,16893,3823793.000748641
2000,FLA KEYS,MYC TIGR,0.002067334130711113,1.5738670964521942e-6,228,527,16893,3823793.000748641
2000,FLA KEYS,MYC VENE,0.0019657152255450525,9.335208095632064e-7,228,527,16893,3823793.000748641
2001,FLA KEYS,CEP CRUE,0.029718629675595323,3.571547328594207e-5,305,722,16893,3823793.000748641
2001,FLA KEYS,CEP FULV,0.0032534061440094675,4.292091449738354e-6,305,742,16893,3823793.000748641
2001,FLA KEYS,DER INER,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,EPI FLAV,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,EPI ITAJ,0.017919383627181106,2.7636066579259707e-4,305,742,16893,3823793.000748641
2001,FLA KEYS,EPI MORI,0.23387913166696014,0.001985248815781433,305,740,16893,3823793.000748641
2001,FLA KEYS,EPI NIVE,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,EPI STRI,0.03562291870328335,2.8097452470709675e-4,305,742,16893,3823793.000748641
2001,FLA KEYS,MYC ACUT,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,MYC BONA,0.32059094377662856,0.003447962355513385,305,734,16893,3823793.000748641
2001,FLA KEYS,MYC INTE,0.005138487553642938,1.2613360489394552e-5,305,742,16893,3823793.000748641
2001,FLA KEYS,MYC MICR,0.009226896483318538,6.452082216486876e-5,305,742,16893,3823793.000748641
2001,FLA KEYS,MYC PHEN,0.017971131909743275,9.432576710980327e-5,305,742,16893,3823793.000748641
2001,FLA KEYS,MYC TIGR,6.229339716256816e-4,2.9616712061574766e-7,305,742,16893,3823793.000748641
2001,FLA KEYS,MYC VENE,0.022655816691598753,4.9190336017986976e-5,305,742,16893,3823793.000748641
2002,FLA KEYS,CEP CRUE,0.03390782107860605,2.6559900619105007e-5,356,667,16893,3823793.000748641
2002,FLA KEYS,CEP FULV,0.0059722717219512856,5.3771852157702725e-6,356,669,16893,3823793.000748641
2002,FLA KEYS,DER INER,0,0,356,669,16893,3823793.000748641
2002,FLA KEYS,EPI FLAV,0,0,356,669,16893,3823793.000748641
2002,FLA KEYS,EPI ITAJ,0.0033702318083947812,1.1592113632962926e-5,356,669,16893,3823793.000748641
2002,FLA KEYS,EPI MORI,0.2732595306386664,0.003555211131077528,356,668,16893,3823793.000748641
2002,FLA KEYS,EPI NIVE,0,0,356,669,16893,3823793.000748641
2002,FLA KEYS,EPI STRI,0.06216703671818257,8.092274881815906e-4,356,669,16893,3823793.000748641
2002,FLA KEYS,MYC ACUT,0,0,356,669,16893,3823793.000748641
2002,FLA KEYS,MYC BONA,0.6107434945897764,0.014545755916360757,356,669,16893,3823793.000748641
2002,FLA KEYS,MYC INTE,0.0057763193155232675,1.8529717532876033e-5,356,669,16893,3823793.000748641
2002,FLA KEYS,MYC MICR,0.017249034442380948,7.314040618512794e-5,356,669,16893,3823793.000748641
2002,FLA KEYS,MYC PHEN,0.010911149585800212,3.916274748851137e-5,356,669,16893,3823793.000748641
2002,FLA KEYS,MYC TIGR,0.008949104794050072,2.267974299832122e-5,356,669,16893,3823793.000748641
2002,FLA KEYS,MYC VENE,0.01617622278267391,6.588658213885824e-5,356,669,16893,3823793.000748641
2003,FLA KEYS,CEP CRUE,0.025058695458062444,1.5429628237791197e-5,237,434,16893,3823793.000748641
2003,FLA KEYS,CEP FULV,0.004121876579712964,3.7718595140052988e-6,237,434,16893,3823793.000748641
2003,FLA KEYS,DER INER,0.016071946781552666,2.5933757684801033e-4,237,434,16893,3823793.000748641
2003,FLA KEYS,EPI FLAV,0,0,237,434,16893,3823793.000748641
2003,FLA KEYS,EPI ITAJ,0,0,237,434,16893,3823793.000748641
2003,FLA KEYS,EPI MORI,0.40670596916931717,0.006951273468481637,237,434,16893,3823793.000748641
2003,FLA KEYS,EPI NIVE,0,0,237,434,16893,3823793.000748641
2003,FLA KEYS,EPI STRI,0.01755133821429165,1.6052666909130065e-4,237,434,16893,3823793.000748641
2003,FLA KEYS,MYC ACUT,0,0,237,434,16893,3823793.000748641
2003,FLA KEYS,MYC BONA,0.2517890313531202,0.0028528848681466145,237,434,16893,3823793.000748641
2003,FLA KEYS,MYC INTE,2.0302209352771944e-6,2.258483663349194e-12,237,434,16893,3823793.000748641
2003,FLA KEYS,MYC MICR,0.008901306756957146,2.186868768238454e-5,237,434,16893,3823793.000748641
2003,FLA KEYS,MYC PHEN,2.889620382369632e-4,5.540842921216316e-8,237,434,16893,3823793.000748641
2003,FLA KEYS,MYC TIGR,0.0022063746770179162,1.6920493667731185e-6,237,434,16893,3823793.000748641
2003,FLA KEYS,MYC VENE,0.0026843539712718594,2.1400884362674236e-6,237,434,16893,3823793.000748641
2004,FLA KEYS,CEP CRUE,0.04102993070179074,5.2754038208958855e-5,127,244,16771,3796177.8497339403
2004,FLA KEYS,CEP FULV,0.024993633890232722,1.3622603762793517e-4,127,244,16771,3796177.8497339403
2004,FLA KEYS,DER INER,0,0,127,244,16771,3796177.8497339403
2004,FLA KEYS,EPI FLAV,0,0,127,244,16771,3796177.8497339403
2004,FLA KEYS,EPI ITAJ,0.002572090710970719,6.605709452277706e-6,127,244,16771,3796177.8497339403
2004,FLA KEYS,EPI MORI,0.21902820628543604,0.005646436600517682,127,244,16771,3796177.8497339403
2004,FLA KEYS,EPI NIVE,0,0,127,244,16771,3796177.8497339403
2004,FLA KEYS,EPI STRI,0.0073954369275188786,9.08682685504554e-6,127,244,16771,3796177.8497339403
2004,FLA KEYS,MYC ACUT,0,0,127,244,16771,3796177.8497339403
2004,FLA KEYS,MYC BONA,0.8287919852625698,0.10591055331489115,127,244,16771,3796177.8497339403
2004,FLA KEYS,MYC INTE,0.003320956567098518,7.023977960311924e-6,127,244,16771,3796177.8497339403
2004,FLA KEYS,MYC MICR,0.009794740060502618,9.094499446605814e-5,127,244,16771,3796177.8497339403
2004,FLA KEYS,MYC PHEN,3.543772852295421e-4,7.846830803902166e-8,127,244,16771,3796177.8497339403
2004,FLA KEYS,MYC TIGR,0,0,127,244,16771,3796177.8497339403
2004,FLA KEYS,MYC VENE,0.019746275270055905,3.8347753072589483e-4,127,244,16771,3796177.8497339403
2005,FLA KEYS,CEP CRUE,0.02328178533699452,1.2360230959293501e-5,256,498,16893,3823793.000748641
2005,FLA KEYS,CEP FULV,0.01786038255759692,6.175713894373636e-5,256,498,16893,3823793.000748641
2005,FLA KEYS,DER INER,0,0,256,498,16893,3823793.000748641
2005,FLA KEYS,EPI FLAV,0,0,256,498,16893,3823793.000748641
2005,FLA KEYS,EPI ITAJ,0,0,256,498,16893,3823793.000748641
2005,FLA KEYS,EPI MORI,0.1836793752405778,7.160191457017842e-4,256,498,16893,3823793.000748641
2005,FLA KEYS,EPI NIVE,0,0,256,498,16893,3823793.000748641
2005,FLA KEYS,EPI STRI,0.10725224458415263,0.0011396789639370878,256,498,16893,3823793.000748641
2005,FLA KEYS,MYC ACUT,0,0,256,498,16893,3823793.000748641
2005,FLA KEYS,MYC BONA,0.5415803296592931,0.010147707898079159,256,498,16893,3823793.000748641
2005,FLA KEYS,MYC INTE,1.6119444225326727e-4,2.6095422512378044e-8,256,498,16893,3823793.000748641
2005,FLA KEYS,MYC MICR,0.03872584260429773,5.833747630946944e-4,256,498,16893,3823793.000748641
2005,FLA KEYS,MYC PHEN,0.015132866428690392,3.033968056479864e-5,256,498,16893,3823793.000748641
2005,FLA KEYS,MYC TIGR,0,0,256,498,16893,3823793.000748641
2005,FLA KEYS,MYC VENE,1.1107618016244344e-4,1.2742860654129416e-8,256,498,16893,3823793.000748641
2006,FLA KEYS,CEP CRUE,0.023856755651178837,9.533548066542479e-6,328,593,16893,3823793.000748641
