YEAR,REGION,SPECIES_CD,density,var,n,nm,N,NM,protected_status
1999,DRY TORT,CEP CRUE,0.19656488549618323,0.004342151689316221,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,CEP FULV,0.0029493407356002777,8.694089682293333e-6,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,DER INER,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,EPI FLAV,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,EPI ITAJ,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,EPI MORI,0.6032817487855656,0.02122212352409246,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,EPI NIVE,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,EPI STRI,0.0029493407356002777,8.694089682293333e-6,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,MYC ACUT,0.0,0.0,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,MYC BONA,0.0399028452463567,5.352918400169875e-4,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,MYC INTE,0.018216516308119362,1.636215181568944e-4,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,MYC MICR,0.008848022206800834,7.418951198569992e-5,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,MYC PHEN,0.03896599583622485,0.0013935199748013494,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,MYC TIGR,0.005898681471200555,1.193022750596945e-5,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,MYC VENE,0.0029493407356002777,8.694089682293333e-6,24,48,1441.0,326175.6771490434,0
1999,DRY TORT,SRR SPE.,0.0,0.0,24,48,1441.0,326175.6771490434,0
2000,DRY TORT,CEP CRUE,0.1947432338653713,0.005127886873057088,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,CEP FULV,0.041221374045801534,0.0016990753003945885,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,EPI ITAJ,7.460097154753645e-4,5.553869251586474e-7,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,EPI MORI,0.9334836918806384,0.0127919678230015,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,EPI STRI,0.0,0.0,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,MYC BONA,0.058310201249132554,0.0017907157677662154,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,MYC INTE,0.0,0.0,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,MYC MICR,0.0,0.0,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,MYC PHEN,0.06257807078417765,0.003823474812812983,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,MYC TIGR,7.460097154753645e-4,5.553869251586474e-7,22,44,1373.0,310783.6257638006,0
2000,DRY TORT,MYC VENE,0.020610687022900767,4.2476882509864713e-4,22,44,1373.0,310783.6257638006,0
