YEAR,REGION,SPECIES_CD,abundance,var,n,nm,N,NM,protected_status
1999,FLA KEYS,ANI SURI,107985.60508412348,6575566183.222746,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ANI VIRG,3429656.104951525,163310872764.4547,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,HAE ALBU,17520.57035905353,150446503.6275949,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,HAE AURO,40016509.81679041,273254994364975.34,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,HAE CARB,348688.42486236227,26542997758.25384,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,HAE CHRY,1805744.9025629107,900538290661.9574,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,HAE FLAV,11313914.989981802,15451510437380.64,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,HAE MACR,51999.380985208234,692376626.6268283,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,HAE MELA,2163122.6409434667,3609594688496.542,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,HAE PARR,689427.4360504319,105588410330.03754,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,HAE PLUM,18263160.293002028,11265554465480.777,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,HAE SCIU,15553390.051463101,29716640099065.773,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,HAE SPE.,1967033.977532429,1322407554181.8835,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,HAE STRI,38748.923478106786,1491104179.791304,104,279,16145.0,3654480.4355109693,0
2000,FLA KEYS,ANI SURI,49455.484378788155,627681939.9508841,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,ANI VIRG,4179152.9291484877,602543673471.0426,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,HAE ALBU,17338.26339258206,180928507.90010062,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,HAE AURO,33410671.965530045,115561314167246.3,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,HAE CARB,239651.2916783729,11315906006.34115,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,HAE CHRY,692996.290543868,79796189940.20988,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,HAE FLAV,12159112.807605267,8825909352358.31,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,HAE MACR,35472.826948417314,412457546.4001054,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,HAE MELA,382899.7140163796,73295660960.00667,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,HAE PARR,823913.645728317,369150210037.8104,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,HAE PLUM,26698549.50494226,12962161684683.113,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,HAE SCIU,11532401.930763567,4722742798755.8955,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,HAE SPE.,16341902.640637878,38946594479699.24,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,HAE STRI,7886.325161379783,42354171.48752543,152,344,16145.0,3654480.4355109693,0
2001,FLA KEYS,ANI SURI,215020.80000515294,5219579693.569149,218,518,16145.0,3654480.4355109693,0
2001,FLA KEYS,ANI VIRG,4303225.139797821,430483027816.7585,218,519,16145.0,3654480.4355109693,0
2001,FLA KEYS,HAE ALBU,223050.7376287845,19322517373.943798,218,519,16145.0,3654480.4355109693,0
2001,FLA KEYS,HAE AURO,62877066.23156834,361728670947537.0,218,519,16145.0,3654480.4355109693,0
2001,FLA KEYS,HAE CARB,594874.1666398289,48504525563.98994,218,518,16145.0,3654480.4355109693,0
2001,FLA KEYS,HAE CHRY,5903662.142502367,17259569705740.658,217,517,16145.0,3654480.4355109693,0
2001,FLA KEYS,HAE FLAV,13924052.579550747,7206978826690.123,218,519,16145.0,3654480.4355109693,0
2001,FLA KEYS,HAE MACR,96591.06770251752,1837545403.9487073,218,519,16145.0,3654480.4355109693,0
2001,FLA KEYS,HAE MELA,6839632.309126708,15612873362537.49,218,519,16145.0,3654480.4355109693,0
2001,FLA KEYS,HAE PARR,680806.3931656134,127417993202.5326,218,518,16145.0,3654480.4355109693,0
2001,FLA KEYS,HAE PLUM,44865071.765819214,41097953391655.44,218,519,16145.0,3654480.4355109693,0
2001,FLA KEYS,HAE SCIU,15618326.528823828,10519923472923.314,218,519,16145.0,3654480.4355109693,0
2001,FLA KEYS,HAE SPE.,38655216.23123208,199787634385138.8,218,518,16145.0,3654480.4355109693,0
2001,FLA KEYS,HAE STRI,849077.4211691562,176511455905.789,218,519,16145.0,3654480.4355109693,0
2002,FLA KEYS,ANI SURI,196961.44440418648,4704430702.5838175,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,ANI VIRG,3670347.701643989,191300273919.98447,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,HAE ALBU,51756.067816543786,596020428.8770468,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,HAE AURO,20690392.31118526,45456001114242.03,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,HAE CARB,932918.9302727727,363063928203.14996,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,HAE CHRY,2073590.6458647267,967225441899.231,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,HAE FLAV,10197879.770330086,3070744175637.1836,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,HAE MACR,575270.2792966348,45474783066.66396,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,HAE MELA,871446.453966419,201177627874.1836,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,HAE PARR,419495.13966966665,84153864396.29787,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,HAE PLUM,28902533.186828796,31987426805734.375,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,HAE SCIU,10059374.813243333,2948517086293.385,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,HAE SPE.,10638880.782136718,5732991069411.802,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,HAE STRI,448023.4609878216,44502509008.11261,275,516,16145.0,3654480.4355109693,0
2003,FLA KEYS,ANI SURI,240825.72882910116,29370898168.758274,158,295,16145.0,3654480.4355109693,0
2003,FLA KEYS,ANI VIRG,2693159.3575321636,218874397973.9301,158,295,16145.0,3654480.4355109693,0
