YEAR,protected_status,richness,simpson,shannon
1999,0,89,5.70993161490513,10.712562507100396
2000,0,88,5.397601862463612,10.519856290304572
2001,0,96,5.078860275914882,10.330961380448526
2002,0,97,5.70685113127833,11.82799064382847
2003,0,93,5.133402850553998,10.492161629097424
2004,0,85,4.997093306165301,10.393211503242048
2005,0,86,6.105286671576781,12.189322951300506
2006,0,105,6.114532971745294,12.38344732112214
2007,0,108,5.654056703261133,11.41558776026066
2008,0,104,5.271374781145349,10.596789252942997
2009,0,119,5.992998539338923,10.913831431837568
2010,0,107,6.833434251307916,12.119062760747557
2011,0,112,7.42063758204316,13.91684638730254
2012,0,110,6.991353811692915,13.118049589334959
2014,0,109,6.553940043614808,12.52594045153905
2016,0,113,6.5800771564120994,12.726733624176394
1999,1,69,5.8542752826796836,10.569522815660356
2000,1,73,6.9270011423452535,12.037765233073602
2001,1,83,6.236179782773845,11.504112794262197
2002,1,77,6.831199747443284,12.635388229360935
2003,1,82,7.0011223927980835,12.55983640799282
2004,1,65,6.749985038398226,11.592769598053152
2005,1,76,7.043396986529128,13.390538272349033
2006,1,84,6.163569871429114,11.510929057237377
2007,1,86,6.3013788365629395,11.772708495227569
2008,1,76,5.454320264033598,9.799778652416789
2009,1,84,5.929065673869413,10.259651322426613
2010,1,76,5.829575959819828,9.822201256177992
2011,1,83,6.928826832058358,12.148011227486858
2012,1,90,6.615147851502432,11.71276304222297
2014,1,90,6.2917480878581316,11.053948998585108
2016,1,88,6.684502113887095,12.31655491920874
1999,all,93,5.732680219245666,10.76800625101478
2000,all,95,5.50485621023768,10.73990545970973
2001,all,101,5.155479956420705,10.503191109544801
2002,all,100,5.767875059301023,11.981750810151121
2003,all,98,5.2482620464611145,10.74036944473915
2004,all,89,5.105532738490024,10.602590876559882
2005,all,93,6.155150572859485,12.372613461596751
2006,all,108,6.122170605107025,12.396083453147671
2007,all,112,5.691769237328663,11.498615777010988
2008,all,105,5.289196806616766,10.627639648209263
2009,all,121,5.995868044669156,10.928205861165871
2010,all,111,6.792722494356916,12.058448424450773
2011,all,116,7.401955465125867,13.858042721766182
2012,all,116,6.978311084771309,13.091862959228942
2014,all,115,6.544749896152697,12.49774900216833
2016,all,114,6.599986711666206,12.790076973206446
