YEAR,REGION,SPECIES_CD,biomass,var,n,nm,N,NM
1999,FLA KEYS,BOD PULC,1.4929553017603223e-4,1.170128487024193e-8,161,440,16893,3823793.000748641
1999,FLA KEYS,BOD RUFU,0.00707635144439495,3.975462572519194e-6,161,420,16893,3823793.000748641
1999,FLA KEYS,LAC MAXI,0.15527128667813017,9.622877520320269e-4,161,416,16893,3823793.000748641
2000,FLA KEYS,BOD PULC,2.5861834396766902e-5,3.345487414907289e-10,228,527,16893,3823793.000748641
2000,FLA KEYS,BOD RUFU,0.021356314368445817,1.720701444145212e-5,228,517,16893,3823793.000748641
2000,FLA KEYS,LAC MAXI,0.22327690238459175,7.484511894313009e-4,228,505,16893,3823793.000748641
2001,FLA KEYS,BOD PULC,0.0025241827109560027,1.0640238888264203e-6,305,739,16893,3823793.000748641
2001,FLA KEYS,BOD RUFU,0.021164988276025094,2.224872499000772e-5,305,710,16893,3823793.000748641
2001,FLA KEYS,LAC MAXI,0.5440785737085522,0.003211061709753439,305,715,16893,3823793.000748641
2002,FLA KEYS,BOD PULC,2.0120856223716305e-4,1.0381513252378435e-8,356,669,16893,3823793.000748641
2002,FLA KEYS,BOD RUFU,0.05191988823688485,2.3338901560782785e-4,356,665,16893,3823793.000748641
2002,FLA KEYS,LAC MAXI,0.5833867009486372,0.005932010830864156,356,667,16893,3823793.000748641
2003,FLA KEYS,BOD PULC,2.9018942549716403e-4,3.0720589651348457e-8,237,434,16893,3823793.000748641
2003,FLA KEYS,BOD RUFU,0.02693563904331466,5.4852375252562086e-5,237,434,16893,3823793.000748641
2003,FLA KEYS,LAC MAXI,0.45212783187398364,0.004540645497772726,237,434,16893,3823793.000748641
2004,FLA KEYS,BOD PULC,2.4037046062786883e-4,5.776914688824078e-8,127,244,16771,3796177.8497339403
2004,FLA KEYS,BOD RUFU,0.04133005199819089,1.485736491548006e-4,127,244,16771,3796177.8497339403
2004,FLA KEYS,LAC MAXI,0.6439654193861658,0.013810948959562157,127,244,16771,3796177.8497339403
2005,FLA KEYS,BOD PULC,9.636839828778165e-4,1.4861614054594544e-7,256,498,16893,3823793.000748641
2005,FLA KEYS,BOD RUFU,0.027893266047710988,4.3006107152807455e-5,256,498,16893,3823793.000748641
2005,FLA KEYS,LAC MAXI,0.4098184614710411,0.003058493640957747,256,498,16893,3823793.000748641
2006,FLA KEYS,BOD PULC,3.232345879347308e-4,3.580119725328516e-8,328,593,16893,3823793.000748641
2006,FLA KEYS,BOD RUFU,0.030867245263913337,4.009706930305142e-5,328,593,16893,3823793.000748641
2006,FLA KEYS,LAC MAXI,0.39233872082664056,0.0030079497052046163,328,593,16893,3823793.000748641
2007,FLA KEYS,BOD PULC,0.001776553675126423,2.1462783982165045e-6,317,614,16893,3823793.000748641
2007,FLA KEYS,BOD RUFU,0.03734985045442403,4.111542294118571e-5,317,614,16893,3823793.000748641
2007,FLA KEYS,LAC MAXI,0.47200373694635017,0.004059155576610218,317,614,16893,3823793.000748641
2008,FLA KEYS,BOD PULC,8.028622176582916e-4,2.710019923393338e-7,376,735,16893,3823793.000748641
2008,FLA KEYS,BOD RUFU,0.038340483516672304,4.298218360422719e-5,376,735,16893,3823793.000748641
2008,FLA KEYS,LAC MAXI,0.640341406360717,0.004091157245104027,376,735,16893,3823793.000748641
2009,FLA KEYS,BOD PULC,0.0013615615471070672,1.6593827446757402e-7,516,1005,16893,3823793.000748641
2009,FLA KEYS,BOD RUFU,0.034656488655950515,2.1905036412776038e-5,516,1005,16893,3823793.000748641
2009,FLA KEYS,LAC MAXI,0.3978496386297474,9.407699756216583e-4,516,1005,16893,3823793.000748641
2010,FLA KEYS,BOD PULC,0.0015576023314373651,3.905995041179932e-7,379,740,16893,3823793.000748641
2010,FLA KEYS,BOD RUFU,0.02830847453883432,1.7335183442180045e-5,379,740,16893,3823793.000748641
2010,FLA KEYS,LAC MAXI,0.29816093129095705,5.854301708894564e-4,379,740,16893,3823793.000748641
2011,FLA KEYS,BOD PULC,0.0026101179231334676,5.300342349588731e-7,402,789,16893,3823793.000748641
2011,FLA KEYS,BOD RUFU,0.03335607038203777,1.0464642934826553e-5,402,789,16893,3823793.000748641
2011,FLA KEYS,LAC MAXI,0.3795801691509842,0.0012854842960653427,402,789,16893,3823793.000748641
2012,FLA KEYS,BOD PULC,0.0010993416230796389,2.51230791805159e-7,416,803,16893,3823793.000748641
2012,FLA KEYS,BOD RUFU,0.03739190292895547,1.8344613767242765e-5,416,803,16893,3823793.000748641
2012,FLA KEYS,LAC MAXI,0.4501099689604842,0.0011499463476076022,416,803,16893,3823793.000748641
2014,FLA KEYS,BOD PULC,6.906785361086021e-4,8.802210646293228e-8,432,860,67562,3823227.1165065365
2014,FLA KEYS,BOD RUFU,0.03864065408088467,4.3124809608960265e-5,432,860,67562,3823227.1165065365
2014,FLA KEYS,LAC MAXI,0.5649889260445118,0.0024708016460323677,432,860,67562,3823227.1165065365
2016,FLA KEYS,BOD PULC,0.0019953965750232456,5.771591739993875e-7,405,797,67562,3823227.1165065365
2016,FLA KEYS,BOD RUFU,0.0332784824304647,2.1447967045732215e-5,405,797,67562,3823227.1165065365
2016,FLA KEYS,LAC MAXI,0.5632804180547275,0.0016274973343616424,405,797,67562,3823227.1165065365
