YEAR,protected_status,richness,simpson,shannon
1999,0,3,1.5509709475415623,1.7879772368716074
2000,0,3,1.4752273476191176,1.6726667254077927
2001,0,3,1.375661779259352,1.6562322728340024
2002,0,3,1.6208639964794296,1.8430982847586892
2003,0,3,1.3761774190348055,1.6021227080589282
2004,0,3,1.4221788029309987,1.6837769546770407
2005,0,3,1.482002844707441,1.7568317354727327
2006,0,3,1.5881298681750582,1.83299783966923
2007,0,3,1.598316668121275,1.8135931611350302
2008,0,3,1.4590987382152858,1.716212961154772
2009,0,3,1.5362312545906807,1.7984097844458184
2010,0,3,1.5009857059541705,1.7828671120321455
2011,0,3,1.6039664484552678,1.8802512476627915
2012,0,3,1.4420669859658442,1.6835827579961447
2014,0,3,1.3584184915907582,1.5978003385385477
2016,0,3,1.3517796988946063,1.603715637028142
1999,1,2,1.9717589127315525,1.9856942320613202
2000,1,3,1.915787835478337,2.102914661873495
2001,1,3,2.034406541201573,2.1219884062331906
2002,1,3,1.783615634985403,1.9523613069830832
2003,1,3,1.6456560878560302,1.8483022679648407
2004,1,3,1.8705895369079426,1.9488742437574715
2005,1,3,1.853074115230646,2.0146703119187372
2006,1,3,1.8680221236088939,2.065742541547604
2007,1,3,2.0573232220565276,2.1485592586900735
2008,1,3,1.5362769467640842,1.7670090986990423
2009,1,3,1.7586477758155044,1.9370109074399937
2010,1,3,1.933368070140733,2.063251675953118
2011,1,3,1.8306515296373782,1.9700438076692783
2012,1,3,1.792129141204997,1.9771965883801692
2014,1,3,1.5662287982175938,1.758038525129832
2016,1,3,1.8719096539939906,1.997174895285719
1999,all,3,1.567909823057703,1.8006944880646865
2000,all,3,1.4929425064256399,1.6940416300564785
2001,all,3,1.397031131334895,1.679460864587799
2002,all,3,1.626711388441177,1.847439229166331
2003,all,3,1.3887353763400223,1.6154704793296801
2004,all,3,1.4400418393400332,1.700118088749414
2005,all,3,1.4923033939901966,1.7661329246352635
2006,all,3,1.5996446063772152,1.8436752425318021
2007,all,3,1.621108486144538,1.83300860796351
2008,all,3,1.4620699093680287,1.7184220748367642
2009,all,3,1.5441535815944354,1.8045091447158998
2010,all,3,1.5191496810683633,1.7988892129793017
2011,all,3,1.6122564959418844,1.8854517478411068
2012,all,3,1.452752906736128,1.6942942014296738
2014,all,3,1.3679520737268656,1.6069516704628994
2016,all,3,1.3729496908163015,1.6263836271199414
