YEAR,density_mean,density_n,density_sd,density_se,density_min,density_max
1999,0,3,0,0,0,0
2000,0,3,0,0,0,0
2001,0,3,0,0,0,0
2002,0,3,0,0,0,0
2003,0,3,0,0,0,0
2004,0,3,0,0,0,0
2005,0,3,0,0,0,0
2006,0,3,0,0,0,0
2007,0,3,0,0,0,0
2008,0,3,0,0,0,0
2009,0,3,0,0,0,0
2010,0.03067506270381324,3,0.009917378338800992,0.0057258010535621165,0.024565051162229717,0.04211786987522282
2011,0.10047986221613452,3,0.02930471015547823,0.016919082296789317,0.06666768564410243,0.11853424223027635
2012,0.06480820496967116,3,0.015600501600347396,0.009006953798453758,0.04680813221943422,0.0744195398987507
2014,0.05517257346766988,3,0.01642574049527911,0.009483405696588332,0.03622029339686554,0.06529156722406666
2016,0.10343115678952268,3,0.015966249387912582,0.009218118382060027,0.09359523018908748,0.12185326872822014
