YEAR,REGION,SPECIES_CD,abundance,var,n,nm,N,NM,protected_status
1999,FLA KEYS,PTE VOLI,0,0,104,279,16145,3654480.4355109693,0
2000,FLA KEYS,PTE VOLI,0,0,152,344,16145,3654480.4355109693,0
2001,FLA KEYS,PTE VOLI,0,0,207,499,16145,3654480.4355109693,0
2002,FLA KEYS,PTE VOLI,0,0,275,516,16145,3654480.4355109693,0
2003,FLA KEYS,PTE VOLI,0,0,158,295,16145,3654480.4355109693,0
2004,FLA KEYS,PTE VOLI,0,0,90,170,16145,3654480.4355109693,0
2005,FLA KEYS,PTE VOLI,0,0,187,363,16145,3654480.4355109693,0
2006,FLA KEYS,PTE VOLI,0,0,231,415,16145,3654480.4355109693,0
2007,FLA KEYS,PTE VOLI,0,0,242,468,16145,3654480.4355109693,0
2008,FLA KEYS,PTE VOLI,0,0,289,568,16145,3654480.4355109693,0
2009,FLA KEYS,PTE VOLI,0,0,406,792,16145,3654480.4355109693,0
2010,FLA KEYS,PTE VOLI,89772.4988696945,776981527.3877316,279,546,16145,3654480.4355109693,0
2011,FLA KEYS,PTE VOLI,433181.06916866306,6142686680.812998,312,613,16145,3654480.4355109693,0
2012,FLA KEYS,PTE VOLI,271964.7525797124,3236201004.0309515,302,587,16145,3654480.4355109693,0
2014,FLA KEYS,PTE VOLI,238584.58654278022,2640190198.274943,313,622,64574,3654140.9049657066,0
2016,FLA KEYS,PTE VOLI,342010.15914362576,4349467420.668861,300,595,64574,3654140.9049657066,0
1999,FLA KEYS,PTE VOLI,0,0,57,161,748,169312.56523767143,1
2000,FLA KEYS,PTE VOLI,0,0,76,183,748,169312.56523767143,1
2001,FLA KEYS,PTE VOLI,0,0,98,243,748,169312.56523767143,1
2002,FLA KEYS,PTE VOLI,0,0,81,153,748,169312.56523767143,1
2003,FLA KEYS,PTE VOLI,0,0,79,139,748,169312.56523767143,1
2004,FLA KEYS,PTE VOLI,0,0,37,74,626,141697.414222971,1
2005,FLA KEYS,PTE VOLI,0,0,69,135,748,169312.56523767143,1
2006,FLA KEYS,PTE VOLI,0,0,97,178,748,169312.56523767143,1
2007,FLA KEYS,PTE VOLI,0,0,75,146,748,169312.56523767143,1
2008,FLA KEYS,PTE VOLI,0,0,87,167,748,169312.56523767143,1
2009,FLA KEYS,PTE VOLI,0,0,110,213,748,169312.56523767143,1
2010,FLA KEYS,PTE VOLI,7131.08459092042,12541782.018048868,100,194,748,169312.56523767143,1
2011,FLA KEYS,PTE VOLI,11287.676874861663,10765628.859717043,90,176,748,169312.56523767143,1
2012,FLA KEYS,PTE VOLI,7925.2049400565065,10450222.695965853,114,216,748,169312.56523767143,1
2014,FLA KEYS,PTE VOLI,6124.352191373321,4288598.57477884,119,238,2988,169086.21154082962,1
2016,FLA KEYS,PTE VOLI,20603.707573121388,192112269.62873626,105,202,2988,169086.21154082962,1
1999,FLA KEYS,PTE VOLI,0,0,161,440,16893,3823793.000748641,all
2000,FLA KEYS,PTE VOLI,0,0,228,527,16893,3823793.000748641,all
2001,FLA KEYS,PTE VOLI,0,0,305,742,16893,3823793.000748641,all
2002,FLA KEYS,PTE VOLI,0,0,356,669,16893,3823793.000748641,all
2003,FLA KEYS,PTE VOLI,0,0,237,434,16893,3823793.000748641,all
2004,FLA KEYS,PTE VOLI,0,0,127,244,16771,3796177.8497339403,all
2005,FLA KEYS,PTE VOLI,0,0,256,498,16893,3823793.000748641,all
2006,FLA KEYS,PTE VOLI,0,0,328,593,16893,3823793.000748641,all
2007,FLA KEYS,PTE VOLI,0,0,317,614,16893,3823793.000748641,all
2008,FLA KEYS,PTE VOLI,0,0,376,735,16893,3823793.000748641,all
2009,FLA KEYS,PTE VOLI,0,0,516,1005,16893,3823793.000748641,all
2010,FLA KEYS,PTE VOLI,96903.58346061493,789523309.4057806,379,740,16893,3823793.000748641,all
2011,FLA KEYS,PTE VOLI,444468.74604352476,6153452309.672715,402,789,16893,3823793.000748641,all
2012,FLA KEYS,PTE VOLI,279889.9575197689,3246651226.7269173,416,803,16893,3823793.000748641,all
2014,FLA KEYS,PTE VOLI,244708.93873415358,2644478796.849722,432,860,67562,3823227.1165065365,all
2016,FLA KEYS,PTE VOLI,362613.8667167472,4541579690.2976,405,797,67562,3823227.1165065365,all
