YEAR,REGION,SPECIES_CD,biomass,var,n,nm,N,NM
1999,FLA KEYS,PTE VOLI,0,0,161,440,16893,3823793.000748641
2000,FLA KEYS,PTE VOLI,0,0,228,527,16893,3823793.000748641
2001,FLA KEYS,PTE VOLI,0,0,305,742,16893,3823793.000748641
2002,FLA KEYS,PTE VOLI,0,0,356,669,16893,3823793.000748641
2003,FLA KEYS,PTE VOLI,0,0,237,434,16893,3823793.000748641
2004,FLA KEYS,PTE VOLI,0,0,127,244,16771,3796177.8497339403
2005,FLA KEYS,PTE VOLI,0,0,256,498,16893,3823793.000748641
2006,FLA KEYS,PTE VOLI,0,0,328,593,16893,3823793.000748641
2007,FLA KEYS,PTE VOLI,0,0,317,614,16893,3823793.000748641
2008,FLA KEYS,PTE VOLI,0,0,376,735,16893,3823793.000748641
2009,FLA KEYS,PTE VOLI,0,0,516,1005,16893,3823793.000748641
2010,FLA KEYS,PTE VOLI,0.001527102295804003,3.077783182882823e-7,379,740,16893,3823793.000748641
2011,FLA KEYS,PTE VOLI,0.013185372919903939,9.36667168431126e-6,402,789,16893,3823793.000748641
2012,FLA KEYS,PTE VOLI,0.013895113613750659,1.1652975935336027e-5,416,803,16893,3823793.000748641
2014,FLA KEYS,PTE VOLI,0.015967591909531346,1.1468463083883762e-5,432,860,67562,3823227.1165065365
2016,FLA KEYS,PTE VOLI,0.021923924069773972,4.184615153283385e-5,405,797,67562,3823227.1165065365
