YEAR,richness,shannon,simpson
1999,11,3.296990031333022,2.4627054944439286
2000,11,1.7825171045892108,1.305307906592581
2001,14,3.4284418278658926,2.4010541003926087
2002,13,3.48663382747471,2.0888813761651175
2003,14,1.8561328468500788,1.4198637856908585
2004,11,4.024417551335909,3.176953795032001
2005,14,2.5685454919957174,1.7047732891203256
2006,12,3.3497608318961043,2.5359343072196032
2007,13,2.289215468378112,1.5261627468961927
2008,15,4.9538464567989635,3.876166443532579
2009,17,3.7790975135278497,2.7039773208595688
2010,15,3.2620109051344217,2.2292752987782665
2011,15,4.126134871466228,3.0729694508076784
2012,15,2.932092339005066,1.7759992676064398
2014,14,3.9523780534869357,3.181047234252818
2016,14,2.801567255895928,1.8520643327787023
