YEAR,abundance_mean,abundance_n,abundance_sd,abundance_se,abundance_min,abundance_max
1999,1923829.4048813314,48,4834685.203201602,697826.7008788864,0,22523420.540218186
2000,2841625.9868025407,48,7219827.1427455535,1042092.2860916781,0,34546981.05387164
2001,2277466.46041332,48,5795070.37155595,836446.359747663,0,27803882.432189923
2002,2141525.282753257,48,4626098.656373136,667719.8261386991,0,19779319.81711749
2003,2535556.6328628897,48,6500568.533778184,938276.2482156114,0,30524372.91583045
2004,3127781.61685704,48,8465825.049940974,1221936.5928739246,0,41319252.4074318
2005,2566305.872882017,48,6431792.081538262,928349.2224119548,0,29590364.54106093
2006,2311845.2804655978,48,5157946.261942409,744485.4156995185,0,22056948.503239587
2007,2602960.3007692415,48,6017275.612726879,868518.9236990085,0,26141913.5994981
2008,2983189.237531088,48,6925337.724828305,999586.3999146731,0,29180075.30972182
2009,3718242.7747159908,48,9249903.354861649,1335108.547976849,0,43275250.23722801
2010,2700856.723421113,48,7278920.890821998,1050621.733931518,0,34410404.83767078
2011,3586152.141204091,48,9106568.538918037,1314419.9493345264,0,41809109.72212944
2012,3163300.6806180687,48,7866225.464127551,1135391.8473050827,0,34903803.640089214
2014,3968553.8537999047,48,9520845.54082151,1374215.6839765366,434.07461985822084,39752330.99749245
2016,3698358.9723666753,48,8699971.39848964,1255732.7072150095,0,38714889.92317442
