YEAR,richness,shannon,simpson
1999,14,4.828475951647567,3.2129262952386832
2000,13,4.701982265071057,3.1301470063011174
2001,15,4.714690637801649,3.0832012432806937
2002,16,6.071207768967321,4.140456039841765
2003,14,4.668378226304879,3.0967095130606452
2004,14,4.452856610406649,2.8270579508345133
2005,16,4.645681107536779,3.2532577874556807
2006,15,5.436280679681083,3.8747199696943837
2007,14,5.375610023434335,3.697182047776469
2008,16,5.489931183225047,3.663514112573349
2009,16,4.946534251887608,3.2633951800248675
2010,16,4.226374373727809,2.8110904362589313
2011,15,4.669186507661622,3.1383195248055302
2012,15,4.8430608943996925,3.2765614589284815
2014,16,4.956492891008448,3.4785776543439333
2016,16,5.172576038254429,3.556805354002082
