YEAR,REGION,SPECIES_CD,biomass,var,n,nm,N,NM
1999,FLA KEYS,CRY ROSE,0.002160163493513694,3.470024032704909e-7,161,440,16893,3823793.000748641
1999,FLA KEYS,NIC USTA,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,SCA COEL,0.14006038094819212,0.004857607011245994,161,436,16893,3823793.000748641
1999,FLA KEYS,SCA COER,0.026783309592085063,6.724050989806808e-5,161,425,16893,3823793.000748641
1999,FLA KEYS,SCA GUAC,0.20066601677954243,0.007625300991116147,161,428,16893,3823793.000748641
1999,FLA KEYS,SCA ISER,0.0601686015466672,9.03194957328211e-5,161,435,16893,3823793.000748641
1999,FLA KEYS,SCA SPE.,0.001329900807412729,1.638721208350905e-6,161,440,16893,3823793.000748641
1999,FLA KEYS,SCA TAEN,0.014704300224104523,2.3291627736528476e-5,161,433,16893,3823793.000748641
1999,FLA KEYS,SCA VETU,0.01709091881183108,2.304547694325775e-5,161,436,16893,3823793.000748641
1999,FLA KEYS,SPA ATOM,0.0011896569720307244,1.3283633933492802e-7,161,432,16893,3823793.000748641
1999,FLA KEYS,SPA AURO,0.09024607774428636,1.0810451231875405e-4,161,434,16893,3823793.000748641
1999,FLA KEYS,SPA CHRY,0.08288463022935257,2.443871287820469e-4,161,429,16893,3823793.000748641
1999,FLA KEYS,SPA RADI,6.390201622498277e-5,3.151407069230919e-9,161,440,16893,3823793.000748641
1999,FLA KEYS,SPA RUBR,0.051094478381409875,1.2288517669917278e-4,160,424,16893,3823793.000748641
1999,FLA KEYS,SPA SPE.,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,SPA VIRI,0.17239905849660198,6.965690659329008e-4,161,428,16893,3823793.000748641
2000,FLA KEYS,CRY ROSE,0.0017798379854079163,1.69495092798591e-7,228,525,16893,3823793.000748641
2000,FLA KEYS,NIC USTA,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,SCA COEL,0.11118799098279539,0.003348061069963642,228,519,16893,3823793.000748641
2000,FLA KEYS,SCA COER,0.10006280686820788,0.001133942489085422,228,518,16893,3823793.000748641
2000,FLA KEYS,SCA GUAC,0.10877880000365532,9.44140835656536e-4,228,524,16893,3823793.000748641
2000,FLA KEYS,SCA ISER,0.05620866444151096,3.0306569627728735e-5,228,524,16893,3823793.000748641
2000,FLA KEYS,SCA SPE.,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,SCA TAEN,0.01576793314927385,2.0477361869926877e-5,228,525,16893,3823793.000748641
2000,FLA KEYS,SCA VETU,0.045937195894507586,9.247237461383601e-5,228,520,16893,3823793.000748641
2000,FLA KEYS,SPA ATOM,0.0029840550445505622,3.5390762837153586e-7,228,522,16893,3823793.000748641
2000,FLA KEYS,SPA AURO,0.11920012722962642,1.848396340276455e-4,228,522,16893,3823793.000748641
2000,FLA KEYS,SPA CHRY,0.1895803152284618,0.0030479899065106696,228,515,16893,3823793.000748641
2000,FLA KEYS,SPA RADI,7.476361830408686e-5,1.8471749689692928e-9,228,527,16893,3823793.000748641
2000,FLA KEYS,SPA RUBR,0.047294038662483155,6.486947560213448e-5,228,520,16893,3823793.000748641
2000,FLA KEYS,SPA SPE.,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,SPA VIRI,0.23718409573549137,0.0013294338401736818,228,511,16893,3823793.000748641
2001,FLA KEYS,CRY ROSE,0.0010033464794174758,1.1072287417129386e-7,305,742,16893,3823793.000748641
2001,FLA KEYS,NIC USTA,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,SCA COEL,0.2808759402014698,0.01799091580486036,305,722,16893,3823793.000748641
2001,FLA KEYS,SCA COER,0.20207859826910646,0.01698667082670066,305,729,16893,3823793.000748641
2001,FLA KEYS,SCA GUAC,0.2862714505634704,0.012967647064852275,305,721,16893,3823793.000748641
2001,FLA KEYS,SCA ISER,0.04376575449143451,1.8952118353582662e-5,305,733,16893,3823793.000748641
2001,FLA KEYS,SCA SPE.,6.640723797895495e-6,4.35336584038058e-11,305,742,16893,3823793.000748641
2001,FLA KEYS,SCA TAEN,0.01853340290621203,4.4890187706047935e-5,305,735,16893,3823793.000748641
2001,FLA KEYS,SCA VETU,0.02499373592154677,2.6910594978912548e-5,305,717,16893,3823793.000748641
2001,FLA KEYS,SPA ATOM,0.003715331706260409,3.8531145734531176e-6,305,740,16893,3823793.000748641
2001,FLA KEYS,SPA AURO,0.1135138153651607,1.1779303922663942e-4,305,733,16893,3823793.000748641
2001,FLA KEYS,SPA CHRY,0.1382324922461194,0.0011316866267787004,304,710,16893,3823793.000748641
2001,FLA KEYS,SPA RADI,3.389489111265736e-4,1.7422070272236156e-8,305,740,16893,3823793.000748641
2001,FLA KEYS,SPA RUBR,0.05487932041855615,1.2365085587668305e-4,305,719,16893,3823793.000748641
2001,FLA KEYS,SPA SPE.,2.566718431675421e-6,6.6384149674025345e-12,305,742,16893,3823793.000748641
2001,FLA KEYS,SPA VIRI,0.1945165014995189,5.172583686328399e-4,304,728,16893,3823793.000748641
2002,FLA KEYS,CRY ROSE,9.006588206182416e-4,1.045507731274706e-7,356,669,16893,3823793.000748641
2002,FLA KEYS,NIC USTA,8.379625939133479e-4,2.559900105093963e-7,356,669,16893,3823793.000748641
2002,FLA KEYS,SCA COEL,0.20684373467773493,0.002718281160443451,356,667,16893,3823793.000748641
2002,FLA KEYS,SCA COER,0.08675810164685999,5.892255778512332e-4,356,666,16893,3823793.000748641
2002,FLA KEYS,SCA GUAC,0.3872746386456587,0.011650191563470502,356,668,16893,3823793.000748641
2002,FLA KEYS,SCA ISER,0.06406728584485584,5.873762238538451e-5,356,665,16893,3823793.000748641
2002,FLA KEYS,SCA SPE.,5.28368932633834e-4,1.0548862909885432e-7,356,669,16893,3823793.000748641
2002,FLA KEYS,SCA TAEN,0.0355834202907251,3.268233345870607e-5,356,668,16893,3823793.000748641
2002,FLA KEYS,SCA VETU,0.05817239689970431,2.5742837597979214e-4,356,667,16893,3823793.000748641
2002,FLA KEYS,SPA ATOM,0.002367475714608295,1.8890341206314426e-7,356,664,16893,3823793.000748641
2002,FLA KEYS,SPA AURO,0.1462922159094935,5.603874647828479e-4,356,666,16893,3823793.000748641
2002,FLA KEYS,SPA CHRY,0.14415435250851452,0.0012583644123002362,356,668,16893,3823793.000748641
2002,FLA KEYS,SPA RADI,1.1715893718858546e-4,1.003600120317132e-9,356,669,16893,3823793.000748641
2002,FLA KEYS,SPA RUBR,0.054308935284436394,1.0832391588137709e-4,356,666,16893,3823793.000748641
2002,FLA KEYS,SPA SPE.,3.4996443368997876e-5,1.2490054395651383e-9,356,669,16893,3823793.000748641
2002,FLA KEYS,SPA VIRI,0.32504257842114476,9.404092087623129e-4,356,667,16893,3823793.000748641
2003,FLA KEYS,CRY ROSE,8.390849258304076e-4,9.160920424805897e-8,237,434,16893,3823793.000748641
2003,FLA KEYS,NIC USTA,0,0,237,434,16893,3823793.000748641
2003,FLA KEYS,SCA COEL,0.125644798465528,0.0012003247001479533,237,434,16893,3823793.000748641
2003,FLA KEYS,SCA COER,0.1588796578362974,0.0025918463375431415,237,434,16893,3823793.000748641
2003,FLA KEYS,SCA GUAC,0.1623026189707948,0.0022207642124090913,237,434,16893,3823793.000748641
2003,FLA KEYS,SCA ISER,0.06085638699293473,8.400115894514937e-5,237,434,16893,3823793.000748641
2003,FLA KEYS,SCA SPE.,1.5506920203269856e-5,1.756481398328657e-10,237,434,16893,3823793.000748641
2003,FLA KEYS,SCA TAEN,0.02568054935216151,3.1294907360111467e-5,237,434,16893,3823793.000748641
2003,FLA KEYS,SCA VETU,0.020326342911943514,1.4467686435121835e-5,237,434,16893,3823793.000748641
2003,FLA KEYS,SPA ATOM,0.013886147236731794,1.4603253810846928e-4,237,434,16893,3823793.000748641
2003,FLA KEYS,SPA AURO,0.12026849712957845,2.3363416190275553e-4,237,434,16893,3823793.000748641
2003,FLA KEYS,SPA CHRY,0.12149617388734295,7.730474679304592e-4,237,434,16893,3823793.000748641
2003,FLA KEYS,SPA RADI,3.543448487128085e-4,1.3236119877146317e-8,237,434,16893,3823793.000748641
2003,FLA KEYS,SPA RUBR,0.07028416277367773,1.2199694839229283e-4,237,434,16893,3823793.000748641
2003,FLA KEYS,SPA SPE.,0,0,237,434,16893,3823793.000748641
2003,FLA KEYS,SPA VIRI,0.2935087587512761,0.0011522005514078375,237,434,16893,3823793.000748641
2004,FLA KEYS,CRY ROSE,0.001387557711945712,3.363658823579807e-7,127,244,16771,3796177.8497339403
2004,FLA KEYS,NIC USTA,3.08198269431994e-4,7.869919605270347e-8,127,244,16771,3796177.8497339403
2004,FLA KEYS,SCA COEL,0.06417924710906847,4.6755755590972256e-4,127,244,16771,3796177.8497339403
2004,FLA KEYS,SCA COER,0.19871377171180016,0.006939519785285869,127,244,16771,3796177.8497339403
2004,FLA KEYS,SCA GUAC,0.16282623430238446,0.005662294775898418,127,244,16771,3796177.8497339403
2004,FLA KEYS,SCA ISER,0.04530566184182171,3.056022508546429e-5,127,244,16771,3796177.8497339403
2004,FLA KEYS,SCA SPE.,0,0,127,244,16771,3796177.8497339403
2004,FLA KEYS,SCA TAEN,0.023342515302705924,5.69281681004228e-5,127,244,16771,3796177.8497339403
