YEAR,protected_status,richness,simpson,shannon
1999,0,13,3.2052966225022876,4.78759112013649
2000,0,13,3.133342405971991,4.692171112024225
2001,0,15,3.086550401628553,4.714811027395696
2002,0,16,4.103248982665181,5.994767235625291
2003,0,14,3.066230899927927,4.594438709970111
2004,0,14,2.8011962502795944,4.419024958574716
2005,0,15,3.2365031531277113,4.610099865301016
2006,0,15,3.888440327723665,5.417213313230106
2007,0,14,3.6697254685202507,5.310557068564853
2008,0,16,3.653863908616207,5.47522830473639
2009,0,14,3.2488378862401603,4.912375992093583
2010,0,16,2.804172793290675,4.19543352423607
2011,0,15,3.1294273759283624,4.648332258217291
2012,0,15,3.258169381817853,4.811633286052013
2014,0,16,3.442927521706913,4.8916701333374215
2016,0,16,3.554494640075324,5.163085562703189
1999,1,14,3.302959489854832,5.3371982505914515
2000,1,13,3.019699423088434,4.704003988929111
2001,1,13,3.010462001062167,4.556986015621452
2002,1,14,4.930113280002933,7.265302692226127
2003,1,14,3.764623011411238,5.950396112583525
2004,1,14,3.2618366726435832,4.809675934101351
2005,1,14,3.7525595069516045,5.462078392761808
2006,1,15,3.4891315557505718,5.33605935666354
2007,1,14,4.301714386077659,6.446566635566456
2008,1,15,3.866566789092716,5.700554289437823
2009,1,16,3.5868380240611404,5.617900043685058
2010,1,15,2.9243652517603356,4.593070077237302
2011,1,14,3.3160267974795175,5.0546996924110985
2012,1,15,3.723278339261587,5.48903405485724
2014,1,16,4.3254180882516975,6.227895723649266
2016,1,15,3.522638407043848,5.14159355382179
1999,all,14,3.2129262952386832,4.828475951647567
2000,all,13,3.1301470063011174,4.701982265071057
2001,all,15,3.0832012432806937,4.714690637801649
2002,all,16,4.140456039841765,6.071207768967321
2003,all,14,3.0967095130606452,4.668378226304879
2004,all,14,2.8270579508345133,4.452856610406649
2005,all,16,3.2532577874556807,4.645681107536779
2006,all,15,3.8747199696943837,5.436280679681083
2007,all,14,3.697182047776469,5.375610023434335
2008,all,16,3.663514112573349,5.489931183225047
2009,all,16,3.2633951800248675,4.946534251887608
2010,all,16,2.8110904362589313,4.226374373727809
2011,all,15,3.1383195248055302,4.669186507661622
2012,all,15,3.2765614589284815,4.8430608943996925
2014,all,16,3.4785776543439333,4.956492891008448
2016,all,16,3.556805354002082,5.172576038254429
