YEAR,density_mean,density_n,density_sd,density_se,density_min,density_max
1999,0.016108452440970693,15,0.022606207081041052,0.005836897569719212,0,0.06391201381551986
2000,0.01782980449214948,15,0.019758114899701272,0.00510152333059971,0,0.05987709208966845
2001,0.01331441482049614,15,0.0229301549745855,0.00592054055616832,0,0.06453202418294499
2002,0.018393525850791556,15,0.019401386636065374,0.0050094164889874886,0,0.05985879926308852
2003,0.02024323426008916,15,0.019334967058286166,0.0049922670277474214,0,0.05362558219768846
2004,0.016994092447771475,15,0.02243632468527899,0.00579303412374586,0,0.0657993181932482
2005,0.014120239868102154,15,0.015030717373446745,0.003880914537927315,0,0.04895525201979864
2006,0.00839953455555797,15,0.008241439633134883,0.0021279305631936776,0,0.021889587613237775
2007,0.010371248882228646,15,0.010995407025463694,0.002839001886292861,0,0.0288116796305299
2008,0.00704741973427323,15,0.0062330718151268625,0.001609372222380078,0,0.02068523809547255
2009,0.009172030838726065,15,0.007866449448649065,0.0020311085138933565,0,0.0254917866615249
2010,0.009954579792941808,15,0.01120795322173726,0.002893881078190678,0,0.03178475935828877
2011,0.011401384649359402,15,0.0075025003220245325,0.001937137253474453,0,0.024869123337348503
2012,0.010689413005942804,15,0.011142293253157484,0.0028769277472025464,0,0.032430411701824445
2014,0.02038058027751689,12,0.022518412300238114,0.006500505701632728,0.004613559250552344,0.06127984809235493
2016,0.0244369037453978,12,0.02110882569757761,0.0060935930993866625,0.006368582835741795,0.06003461549030923
