YEAR,protected_status,richness,simpson,shannon
1999,0,3,1.6649787307419333,1.8893636207887912
2000,0,4,2.0533122324875697,2.6167400581476015
2001,0,4,1.6563394842778647,2.192255100448984
2002,0,4,2.6598173527561895,3.1739528452542394
2003,0,4,2.5946565323625337,2.997206593458025
2004,0,4,2.224547385303383,2.6832331678244956
2005,0,4,2.163636578539241,2.6218869072372732
2006,0,4,2.584858309939135,3.0996610787935257
2007,0,4,2.803963847823069,3.077316150801508
2008,0,4,2.9923158864129773,3.446174433681956
2009,0,5,2.923709036582594,3.378680044186692
2010,0,4,2.140855440584857,2.6063574227288164
2011,0,5,3.945425663211312,4.093292278041797
2012,0,4,2.347907636999197,2.79597054597664
2014,0,4,1.692052220149774,2.2695485126326824
2016,0,4,2.240216634794864,2.8494712998028358
1999,1,3,2.1943841951232566,2.480800963574035
2000,1,4,3.158221915185353,3.4938588732654288
2001,1,3,1.1966003263233516,1.419377763660789
2002,1,4,2.3262593546279287,2.669640904507135
2003,1,4,2.926915762577931,3.2582286153762006
2004,1,3,1.4948455420139704,1.8351731730730174
2005,1,4,3.2157251295594094,3.5451519515055105
2006,1,4,2.7964238686653036,3.159645041383398
2007,1,2,1.783337793013338,1.879690049118687
2008,1,4,3.4278157657076505,3.6732628754506913
2009,1,4,3.717656377605456,3.8411133944646885
2010,1,3,2.5342235663776034,2.7334276682443766
2011,1,4,2.852281209213982,3.267006362781378
2012,1,4,2.9854993002896015,3.281794303979733
2014,1,4,2.3816800807801908,2.9194184028022154
2016,1,4,2.621974281167695,3.1104084555375264
1999,all,3,1.7101217194496745,1.9372473417739635
2000,all,4,2.099968807099797,2.666335486517837
2001,all,4,1.6423645603819303,2.1733761129395215
2002,all,4,2.6624268758160845,3.175453137650455
2003,all,4,2.6277950384868616,3.0436723424581893
2004,all,4,2.259919053517076,2.71170749036985
2005,all,4,2.1896955325970255,2.6663713011503183
2006,all,4,2.6091955902255752,3.1117161535185756
2007,all,4,2.7751417505133977,3.0566446871960724
2008,all,4,3.012667793938425,3.4614103634256854
2009,all,5,2.9772953550689696,3.4270791673451586
2010,all,4,2.2562261162760713,2.756105327424998
2011,all,5,3.919346141051514,4.076582362922423
2012,all,4,2.3788908081770566,2.82232956220804
2014,all,4,1.720995728306793,2.3094279773474584
2016,all,4,2.2647201630064333,2.8776301884744306
