YEAR,REGION,SPECIES_CD,biomass,var,n,nm,N,NM
1999,FLA KEYS,ALP AFER,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,DIP FORM,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,EPI ADSC,0.007905477582891184,1.1711666243289876e-5,161,439,16893,3823793.000748641
1999,FLA KEYS,EPI GUTT,0.017997560310223676,9.008714710424132e-5,161,440,16893,3823793.000748641
1999,FLA KEYS,HYP CHLO,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,HYP GEMM,6.769492767864832e-5,1.0703670597864427e-9,161,439,16893,3823793.000748641
1999,FLA KEYS,HYP GUTT,2.518746046425515e-5,3.198620104145933e-10,161,440,16893,3823793.000748641
1999,FLA KEYS,HYP HYBR,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,HYP INDI,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,HYP NIGR,1.2819567346044358e-5,1.4885115760720493e-10,161,440,16893,3823793.000748641
1999,FLA KEYS,HYP PUEL,2.369727441011182e-4,1.106309525341873e-8,161,437,16893,3823793.000748641
1999,FLA KEYS,HYP SPE.,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,HYP TANN,2.86497003573795e-6,7.631371413362525e-12,161,440,16893,3823793.000748641
1999,FLA KEYS,HYP UNIC,8.048077725001357e-4,5.020772822321172e-8,161,428,16893,3823793.000748641
1999,FLA KEYS,LIO EUKR,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,LIO RUBE,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,PAR FURC,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,PRI AQUI,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,RYP SAPO,2.1823728809151918e-4,4.763444940136391e-8,161,440,16893,3823793.000748641
1999,FLA KEYS,SCH BETA,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,SER ANNU,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,SER BALD,1.1580970155489586e-4,9.926312053526095e-10,161,437,16893,3823793.000748641
1999,FLA KEYS,SER SUBL,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,SER TABA,4.820297772187198e-4,3.1368139244407686e-8,161,437,16893,3823793.000748641
1999,FLA KEYS,SER TIGR,0.0011316081332994673,2.699771779109905e-8,161,418,16893,3823793.000748641
1999,FLA KEYS,SER TORT,0,0,161,440,16893,3823793.000748641
2000,FLA KEYS,ALP AFER,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,DIP FORM,6.127091308489726e-5,2.609607905871821e-9,228,527,16893,3823793.000748641
2000,FLA KEYS,EPI ADSC,0.002200674140134198,1.818858910966976e-6,228,527,16893,3823793.000748641
2000,FLA KEYS,EPI GUTT,0.0032637105282774213,2.394291375132325e-6,228,522,16893,3823793.000748641
2000,FLA KEYS,HYP CHLO,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,HYP GEMM,1.4884892056467585e-4,2.7219404237991686e-9,228,523,16893,3823793.000748641
2000,FLA KEYS,HYP GUTT,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,HYP HYBR,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,HYP INDI,4.7812864982954704e-5,2.284268557779082e-9,228,527,16893,3823793.000748641
2000,FLA KEYS,HYP NIGR,1.1137970692977888e-5,3.948992268849103e-11,228,527,16893,3823793.000748641
2000,FLA KEYS,HYP PUEL,1.2621670477394153e-4,1.7635381254497386e-9,228,526,16893,3823793.000748641
2000,FLA KEYS,HYP SPE.,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,HYP TANN,1.812354747112896e-5,1.393883667497613e-10,228,527,16893,3823793.000748641
2000,FLA KEYS,HYP UNIC,0.0013438698280775823,6.740409493210819e-8,228,523,16893,3823793.000748641
2000,FLA KEYS,LIO EUKR,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,LIO RUBE,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,PAR FURC,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,PRI AQUI,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,RYP SAPO,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,SCH BETA,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,SER ANNU,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,SER BALD,5.5397339611698286e-5,1.5823737649412065e-10,228,525,16893,3823793.000748641
2000,FLA KEYS,SER SUBL,0,0,228,527,16893,3823793.000748641
