YEAR,abundance_mean,abundance_n,abundance_sd,abundance_se,abundance_min,abundance_max
1999,3202.228981927195,27,7895.642017431238,1519.517014729615,0,30580.239456780488
2000,3021.8770859648926,27,10093.99049805225,1942.5893770826635,0,40795.34066052605
2001,5967.5167927005905,27,20509.856431696404,3947.123710626832,0,80030.50872110034
2002,43361.45386063505,27,154705.3484687891,29773.058194510082,0,581171.2572522433
2003,3733.4432565517827,27,9360.364323750897,1801.402954010183,0,34425.741050537115
2004,2492.5079433948554,27,8547.892726878381,1645.0427222890924,0,32243.270425355473
2005,5553.091845495904,27,18851.79568334327,3628.029770828687,0,74393.0503721991
2006,6598.214130807551,27,23570.53870006293,4536.152287808608,0,89075.89076590195
2007,4259.833491015037,27,13010.899063332085,2503.9486922046094,0,49413.07994393897
2008,3786.1672691121726,27,12722.874592515876,2448.5183569516303,0,48255.132649341525
2009,3738.029010380977,27,12956.884326415455,2493.5535512382685,0,48676.61214569818
2010,2940.5279077295854,27,10246.527089514331,1971.9450577966306,0,39697.1267543494
2011,4077.318349363195,27,14428.937777577421,2776.8503700015613,0,55043.79771640313
2012,1766.548050031074,27,5843.760895764787,1124.6323087498695,0,23433.855567831306
2014,11911.521057051525,9,22807.278104554447,7602.426034851483,0,52765.69184274723
2016,15522.53324876257,15,37020.207562231444,9558.576490777617,0,108345.80048592389
