YEAR,REGION,SPECIES_CD,abundance,var,n,nm,N,NM,protected_status
1999,FLA KEYS,CAR FALC,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,CAR LEUC,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,CAR LIMB,8760.285179526765,76584802.98688124,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,CAR PERE,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,GIN CIRR,27765.421710570274,180841259.5960164,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,NEG BREV,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,SPH LEWI,3889.5666197098835,15130931.524835397,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,SPH MOKA,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,SPH TIBU,0.0,0.0,104,279,16145.0,3654480.4355109693,0
2000,FLA KEYS,CAR FALC,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,CAR LEUC,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,CAR LIMB,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,CAR PERE,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,GIN CIRR,34526.93127066241,284910523.42265755,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,NEG BREV,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,SPH LEWI,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,SPH MOKA,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,SPH TIBU,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2001,FLA KEYS,CAR FALC,0.0,0.0,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,CAR LEUC,0.0,0.0,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,CAR LIMB,0.0,0.0,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,CAR PERE,0.0,0.0,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,GIN CIRR,73859.57937032866,805821200.1853294,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,NEG BREV,0.0,0.0,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,SPH LEWI,0.0,0.0,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,SPH MOKA,0.0,0.0,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,SPH TIBU,0.0,0.0,207,499,16145.0,3654480.4355109693,0
2002,FLA KEYS,CAR FALC,0.0,0.0,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,CAR LEUC,0.0,0.0,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,CAR LIMB,0.0,0.0,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,CAR PERE,541.9429857077872,299518.53935153026,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,GIN CIRR,579019.1626211592,242623535821.64413,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,NEG BREV,0.0,0.0,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,SPH LEWI,0.0,0.0,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,SPH MOKA,0.0,0.0,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,SPH TIBU,2434.0567533722283,5941524.963075675,275,516,16145.0,3654480.4355109693,0
2003,FLA KEYS,CAR FALC,0.0,0.0,158,295,16145.0,3654480.4355109693,0
2003,FLA KEYS,CAR LEUC,0.0,0.0,158,295,16145.0,3654480.4355109693,0
2003,FLA KEYS,CAR LIMB,0.0,0.0,158,295,16145.0,3654480.4355109693,0
2003,FLA KEYS,CAR PERE,0.0,0.0,158,295,16145.0,3654480.4355109693,0
2003,FLA KEYS,GIN CIRR,31624.00557444007,330592147.06577325,158,295,16145.0,3654480.4355109693,0
2003,FLA KEYS,NEG BREV,0.0,0.0,158,295,16145.0,3654480.4355109693,0
2003,FLA KEYS,SPH LEWI,0.0,0.0,158,295,16145.0,3654480.4355109693,0
2003,FLA KEYS,SPH MOKA,14902.388285952416,220394571.28514314,158,295,16145.0,3654480.4355109693,0
