YEAR,REGION,SPECIES_CD,biomass,var,n,nm,N,NM
1999,FLA KEYS,CAR FALC,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,CAR LEUC,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,CAR LIMB,0.028639753074680353,8.185489381291566e-4,161,440,16893,3823793.000748641
1999,FLA KEYS,CAR PERE,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,GIN CIRR,0.06537931668813902,0.0020666446486421117,161,439,16893,3823793.000748641
1999,FLA KEYS,SPH LEWI,0.029712297152086422,8.829491578199201e-4,161,440,16893,3823793.000748641
1999,FLA KEYS,SPH MOKA,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,SPH TIBU,0,0,161,440,16893,3823793.000748641
2000,FLA KEYS,CAR FALC,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,CAR LEUC,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,CAR LIMB,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,CAR PERE,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,GIN CIRR,0.2181351983123962,0.01150106471831545,228,524,16893,3823793.000748641
2000,FLA KEYS,SPH LEWI,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,SPH MOKA,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,SPH TIBU,0,0,228,527,16893,3823793.000748641
2001,FLA KEYS,CAR FALC,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,CAR LEUC,7.786831251246204e-4,6.894156523690269e-7,305,742,16893,3823793.000748641
2001,FLA KEYS,CAR LIMB,0.0010016907259489958,9.117100422176766e-7,305,742,16893,3823793.000748641
2001,FLA KEYS,CAR PERE,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,GIN CIRR,0.38207381837140036,0.0415950523708901,305,737,16893,3823793.000748641
2001,FLA KEYS,SPH LEWI,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,SPH MOKA,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,SPH TIBU,0,0,305,742,16893,3823793.000748641
2002,FLA KEYS,CAR FALC,0,0,356,669,16893,3823793.000748641
2002,FLA KEYS,CAR LEUC,0,0,356,669,16893,3823793.000748641
2002,FLA KEYS,CAR LIMB,3.154888560406873e-4,1.015806833437003e-7,356,669,16893,3823793.000748641
2002,FLA KEYS,CAR PERE,0.03308819294286189,5.101311976636826e-4,356,669,16893,3823793.000748641
2002,FLA KEYS,GIN CIRR,6.470233169315938,37.28674625816934,356,669,16893,3823793.000748641
2002,FLA KEYS,SPH LEWI,0,0,356,669,16893,3823793.000748641
2002,FLA KEYS,SPH MOKA,0,0,356,669,16893,3823793.000748641
2002,FLA KEYS,SPH TIBU,0.001731005777564908,3.004924472062807e-6,356,669,16893,3823793.000748641
2003,FLA KEYS,CAR FALC,0,0,237,434,16893,3823793.000748641
2003,FLA KEYS,CAR LEUC,0.015967949465163295,2.0120508553845594e-4,237,434,16893,3823793.000748641
2003,FLA KEYS,CAR LIMB,0,0,237,434,16893,3823793.000748641
2003,FLA KEYS,CAR PERE,0,0,237,434,16893,3823793.000748641
