YEAR,REGION,SPECIES_CD,density,var,n,nm,N,NM,protected_status
1999,FLA KEYS,CAR FALC,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,CAR LEUC,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,CAR LIMB,0.002397135607678223,5.7344440145430424e-6,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,CAR PERE,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,GIN CIRR,0.007597638624842745,1.3540859781939247e-5,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,NEG BREV,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,SPH LEWI,0.001064328209809131,1.1329594950047204e-6,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,SPH MOKA,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,SPH TIBU,0.0,0.0,104,279,16145.0,3654480.4355109693,0
2000,FLA KEYS,CAR FALC,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,CAR LEUC,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,CAR LIMB,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,CAR PERE,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,GIN CIRR,0.009447835849703996,2.1333259106264853e-5,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,NEG BREV,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,SPH LEWI,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,SPH MOKA,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,SPH TIBU,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2001,FLA KEYS,CAR FALC,0.0,0.0,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,CAR LEUC,0.0,0.0,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,CAR LIMB,0.0,0.0,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,CAR PERE,0.0,0.0,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,GIN CIRR,0.020210692237568818,6.0337513161536845e-5,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,NEG BREV,0.0,0.0,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,SPH LEWI,0.0,0.0,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,SPH MOKA,0.0,0.0,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,SPH TIBU,0.0,0.0,207,499,16145.0,3654480.4355109693,0
2002,FLA KEYS,CAR FALC,0.0,0.0,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,CAR LEUC,0.0,0.0,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,CAR LIMB,0.0,0.0,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,CAR PERE,1.4829549515210712e-4,2.242706422478194e-8,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,GIN CIRR,0.1584408981902788,0.018166934280917642,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,NEG BREV,0.0,0.0,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,SPH LEWI,0.0,0.0,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,SPH MOKA,0.0,0.0,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,SPH TIBU,6.660472798596057e-4,4.4488385336192225e-7,275,516,16145.0,3654480.4355109693,0
2003,FLA KEYS,CAR FALC,0.0,0.0,158,295,16145.0,3654480.4355109693,0
2003,FLA KEYS,CAR LEUC,0.0,0.0,158,295,16145.0,3654480.4355109693,0
2003,FLA KEYS,CAR LIMB,0.0,0.0,158,295,16145.0,3654480.4355109693,0
2003,FLA KEYS,CAR PERE,0.0,0.0,158,295,16145.0,3654480.4355109693,0
2003,FLA KEYS,GIN CIRR,0.008653488815303619,2.475376425948364e-5,158,295,16145.0,3654480.4355109693,0
2003,FLA KEYS,NEG BREV,0.0,0.0,158,295,16145.0,3654480.4355109693,0
2003,FLA KEYS,SPH LEWI,0.0,0.0,158,295,16145.0,3654480.4355109693,0
2003,FLA KEYS,SPH MOKA,0.004077840488936361,1.650249502320142e-5,158,295,16145.0,3654480.4355109693,0
