YEAR,protected_status,richness,simpson,shannon
1999,0,3,1.8931540630468624,2.258313068886805
2000,0,1,1.0,1.0
2001,0,1,1.0,1.0
2002,0,3,1.0102871299944922,1.0351071646641317
2003,0,2,1.771214296640532,1.872164276940059
2004,0,1,1.0,1.0
2005,0,1,1.0,1.0
2006,0,1,1.0,1.0
2007,0,2,1.283850234483852,1.4619991842560889
2008,0,2,1.0531398226523525,1.1277086148202344
2009,0,2,1.0505961188079673,1.122733702646884
2010,0,1,1.0,1.0
2011,0,1,1.0,1.0
2012,0,1,1.0,1.0
2014,0,1,1.0,1.0
2016,0,2,1.1126939372723457,1.2320780959779036
1999,1,1,1.0,1.0
2000,1,1,1.0,1.0
2001,1,3,1.1746589303800694,1.387224489639106
2002,1,3,2.052530652373645,2.364379498372885
2003,1,3,1.782190718343358,2.186014448048777
2004,1,2,1.4705882352941178,1.649384888466118
2005,1,2,1.153253226717043,1.2939113715089656
2006,1,1,1.0,1.0
2007,1,2,1.993631890549116,1.9968066241267066
2008,1,3,2.740757213543115,2.8625300815995
2009,1,2,2.0,2.0
2010,1,1,1.0,1.0
2011,1,1,1.0,1.0
2012,1,2,1.2617594234904053,1.4362050699423992
2014,1,3,2.2482768074897126,2.5625101241549815
2016,1,4,2.21766451190511,2.7784283145890947
1999,all,3,1.819669020189818,2.1925009326858635
2000,all,1,1.0,1.0
2001,all,3,1.0132883775862649,1.0448401814757216
2002,all,4,1.0145102713602814,1.0501536581961572
2003,all,3,1.7841953860211448,1.956514777495151
2004,all,3,1.103860640301501,1.2464639682381558
2005,all,2,1.0154222854024395,1.0459358998681192
2006,all,1,1.0,1.0
2007,all,3,1.3270482578456912,1.5863178420797526
2008,all,3,1.1198888416607675,1.2875046231414413
2009,all,4,1.0740037695715174,1.200348639606078
2010,all,1,1.0,1.0
2011,all,1,1.0,1.0
2012,all,2,1.0353687785258041,1.0916269637162284
2014,all,3,1.0318107654892892,1.0952232349055222
2016,all,4,1.1497211163325016,1.3290799271526816
