YEAR,protected_status,richness,simpson,shannon
1999,0,19,4.01401666641425,6.239962164361578
2000,0,14,3.7877193535697447,5.376226000229005
2004,0,21,5.212590602847744,6.607404904172008
2006,0,23,3.4903296184691786,5.299259700265616
2008,0,19,1.3584408977283424,1.9700653556096075
2010,0,22,2.4999961588129547,4.127222367394872
2012,0,27,1.7602346811611511,2.902828569823087
2014,0,25,1.2635131320316666,1.7354163144974795
2016,0,18,3.271357627114098,5.209602614839812
1999,1,22,1.4103764082398085,2.1874555143812846
2000,1,19,1.19291317847851,1.5798172303652533
2004,1,19,3.308134513623065,4.587427298299479
2006,1,24,1.2938658414542943,1.8192709499317388
2008,1,18,1.1010586362024768,1.303314144692441
2010,1,23,1.5542761378607677,2.5479731323413843
2012,1,26,1.3414081264349944,1.989673126708251
2014,1,22,1.1482096998908218,1.441301743691534
2016,1,18,2.736373920113128,4.3766943903200755
1999,2,24,3.299320386002775,5.927814876370599
2000,2,28,1.6957869336498812,2.9013529636411217
2004,2,33,4.919481209257298,6.8639471155396885
2006,2,36,2.078514672409547,3.6154223905198766
2008,2,33,1.4234149784509258,2.1833198997630183
2010,2,35,1.6458296513464927,2.7786268112816743
2012,2,35,1.5318343501210794,2.4737742476714506
2014,2,31,1.2207254015190756,1.6613908969841946
2016,2,32,3.2919400198740383,5.393507152195024
1999,all,28,2.0837898564884547,3.8486829087888044
2000,all,28,1.5378968556305215,2.5103391654325615
2004,all,38,4.477938274374449,6.45782085985215
2006,all,42,1.7619863769213533,2.9407655909130677
2008,all,34,1.2184233669661644,1.6451562936030681
2010,all,36,1.7149022332327077,2.950229121141897
2012,all,40,1.5003253928329048,2.4145820467833152
2014,all,34,1.2026919232904616,1.603684621015224
2016,all,35,3.137754953178671,5.213499612294366
