YEAR,REGION,SPECIES_CD,abundance,var,n,nm,N,NM,protected_status
1999,FLA KEYS,ACA ASPE,13241.059496554348,96620891.85557315,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ACA BAHI,8860859.145718109,534926613329.4282,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ACA CHAP,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ACA CHIR,6692907.751720904,745940917683.3123,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ACA COER,7293752.470231063,438887714205.47186,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ACA MARI,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ACA SPE.,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ACA SPIN,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,BLE SPE.,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,BOL BOQU,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,CHA LIMB,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,COR DICR,250666.86366485863,10482592303.123117,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,COR EIDO,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,COR GLAU,5997768.437110147,759898303020.0292,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,COR LIPE,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,COR PERS,2953457.9821521104,1403106928822.122,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,COR PUNC,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,COR SPE.,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,CTE SAEP,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ELA EVEL,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ELA HORS,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ELA MACR,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ELA OCEA,962499.3391398968,70123722160.48376,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ELA RAND,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ELA SAUC,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ELA XANT,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,EMB BAHA,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,EMB PAND,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ENN ALTI,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,ENN BOEH,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,GNA THOM,530578.3451784011,32368281962.6117,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,GOB DILE,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,GOB SPE.,14594.635109091589,108740865.69798273,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,HEM SIMU,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,HYP BERM,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,KYP SECT,1361229.5271462263,261447592651.03275,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,LAB KALI,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,LAB NIGR,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,LAB NUCH,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,MAL AURO,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,MAL GILL,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,MAL MACR,3504.114071810706,12334673.428506251,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,MAL TRIA,240801.34870854017,1811717370.1636224,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,MAL VERS,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,MEL NIGE,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,MIC CARR,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,MIC MICR,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,NES LONG,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,OPH MACC,1761.3147035503084,3080793.7598993885,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,OXY STIG,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,PAR MARM,159977.46080169114,3081229555.7674236,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,PAR MARN,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,PAR NIGR,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,PRI HIPO,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,PTE CALL,594227.6642976595,35402565853.05582,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,PTE HELE,43801.42589763382,670181906.4660987,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,SCA CRIS,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,STR NOTA,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,STR TIMU,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,TYL CROC,0.0,0.0,104,279,16145.0,3654480.4355109693,0
2000,FLA KEYS,ACA ASPE,16799.971379598894,135200330.02555013,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,ACA BAHI,11496293.76926329,1088865009870.914,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,ACA CHAP,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,ACA CHIR,8355828.238005069,1194119426756.7288,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,ACA COER,9815982.935854228,865437256321.0176,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,ACA MARI,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,ACA SPE.,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,ACA SPIN,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,BLE SPE.,20423.821681109846,193020844.3353709,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,BOL BOQU,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,CHA LIMB,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,COR DICR,114794.99401325168,2626356950.46439,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,COR EIDO,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,COR GLAU,6949726.148548714,432769317212.56836,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,COR LIPE,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,COR PERS,14539006.723478684,9453182316413.768,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,COR PUNC,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,COR SPE.,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,CTE SAEP,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,ELA EVEL,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,ELA HORS,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,ELA MACR,8399.985689799447,70520349.08091088,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,ELA OCEA,1458038.0975558145,73990801307.3431,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,ELA RAND,0.0,0.0,152,344,16145.0,3654480.4355109693,0
