YEAR,REGION,SPECIES_CD,biomass,var,n,nm,N,NM
1999,FLA KEYS,LUT ANAL,0.05360078967456823,5.857867262767857e-4,161,431,16893,3823793.000748641
1999,FLA KEYS,LUT APOD,0.1041154160026348,0.001646421118960098,161,433,16893,3823793.000748641
1999,FLA KEYS,LUT BUCC,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,LUT CYAN,0.016975802260992223,1.734406467428335e-4,161,440,16893,3823793.000748641
1999,FLA KEYS,LUT GRIS,0.37752914040591623,0.003917230141962033,161,435,16893,3823793.000748641
1999,FLA KEYS,LUT JOCU,0.010900476612704778,1.1125783241340082e-4,161,439,16893,3823793.000748641
1999,FLA KEYS,LUT MAHO,0.003956346793232533,9.775917180715198e-6,161,438,16893,3823793.000748641
1999,FLA KEYS,LUT SPE.,0,0,161,440,16893,3823793.000748641
1999,FLA KEYS,LUT SYNA,0.020299672091505346,1.946540421817063e-4,161,440,16893,3823793.000748641
1999,FLA KEYS,OCY CHRY,0.3401991877822024,0.005421323884497893,160,417,16893,3823793.000748641
1999,FLA KEYS,RHO AURO,0,0,161,440,16893,3823793.000748641
2000,FLA KEYS,LUT ANAL,0.11390614454040071,6.101524746087645e-4,228,522,16893,3823793.000748641
2000,FLA KEYS,LUT APOD,0.26510001165689007,0.006394934437117425,228,526,16893,3823793.000748641
2000,FLA KEYS,LUT BUCC,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,LUT CYAN,6.503221018139974e-4,4.166898565241107e-7,228,527,16893,3823793.000748641
2000,FLA KEYS,LUT GRIS,0.688373938501503,0.021160934409028824,228,520,16893,3823793.000748641
2000,FLA KEYS,LUT JOCU,0.0018184712205161428,5.06265032692173e-7,228,527,16893,3823793.000748641
2000,FLA KEYS,LUT MAHO,0.031214700474620737,6.943521432596712e-5,228,526,16893,3823793.000748641
2000,FLA KEYS,LUT SPE.,0,0,228,527,16893,3823793.000748641
2000,FLA KEYS,LUT SYNA,0.01942262067746053,6.026977775486168e-5,228,525,16893,3823793.000748641
2000,FLA KEYS,OCY CHRY,0.5040915541712185,0.005487323813558871,228,514,16893,3823793.000748641
2000,FLA KEYS,RHO AURO,0,0,228,527,16893,3823793.000748641
2001,FLA KEYS,LUT ANAL,0.2179903009415407,0.002310864847191306,305,730,16893,3823793.000748641
2001,FLA KEYS,LUT APOD,0.4068208521509627,0.01462984538852149,305,739,16893,3823793.000748641
2001,FLA KEYS,LUT BUCC,4.68279090763927e-5,2.1982140275207275e-9,305,742,16893,3823793.000748641
2001,FLA KEYS,LUT CYAN,0.0016968826561708705,1.3714887662312326e-6,305,742,16893,3823793.000748641
2001,FLA KEYS,LUT GRIS,0.9062736552204175,0.028469701757534105,305,734,16893,3823793.000748641
2001,FLA KEYS,LUT JOCU,0.007309729870938046,9.163653134349693e-6,305,739,16893,3823793.000748641
2001,FLA KEYS,LUT MAHO,0.03289675910197088,9.6018460517741e-5,305,737,16893,3823793.000748641
2001,FLA KEYS,LUT SPE.,0,0,305,742,16893,3823793.000748641
2001,FLA KEYS,LUT SYNA,0.05762949685959979,6.867471308859233e-4,305,742,16893,3823793.000748641
2001,FLA KEYS,OCY CHRY,0.7621144233028274,0.018766140568959935,305,716,16893,3823793.000748641
2001,FLA KEYS,RHO AURO,0,0,305,742,16893,3823793.000748641
2002,FLA KEYS,LUT ANAL,0.38658446729995455,0.008293705381111785,356,669,16893,3823793.000748641
2002,FLA KEYS,LUT APOD,0.30055374520788414,0.009502898292743395,356,669,16893,3823793.000748641
2002,FLA KEYS,LUT BUCC,9.953407214030104e-5,9.966178981383186e-9,356,669,16893,3823793.000748641
2002,FLA KEYS,LUT CYAN,0.05786850066022996,0.0030691526705474404,356,669,16893,3823793.000748641
2002,FLA KEYS,LUT GRIS,0.8603457349080968,0.04876191010752868,356,669,16893,3823793.000748641
2002,FLA KEYS,LUT JOCU,0.013872217355278011,2.6993926611295977e-5,356,669,16893,3823793.000748641
2002,FLA KEYS,LUT MAHO,0.0250475441677074,7.933160019405569e-5,356,669,16893,3823793.000748641
2002,FLA KEYS,LUT SPE.,0.010735491231321743,8.727652106192318e-5,356,669,16893,3823793.000748641
2002,FLA KEYS,LUT SYNA,0.04996177924664164,0.0010651493662518045,356,669,16893,3823793.000748641
