YEAR,REGION,SPECIES_CD,density,var,n,nm,N,NM,protected_status
1999,FLA KEYS,LUT ANAL,0.0679970764349992,5.751025750487195e-4,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,LUT APOD,0.6163495582547122,0.03477419043414262,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,LUT BUCC,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,LUT CYAN,0.002397135607678223,5.759747761740543e-6,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,LUT GRIS,2.926355887434598,0.2920459487071875,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,LUT JOCU,0.019177084861425785,3.657898370652747e-4,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,LUT MAHO,0.015824508009797573,1.0646359945362785e-4,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,LUT SPE.,0.0,0.0,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,LUT SYNA,0.14429505989628483,0.007104153428757112,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,OCY CHRY,2.761283297120115,0.3307134645653119,104,279,16145.0,3654480.4355109693,0
1999,FLA KEYS,RHO AURO,0.0,0.0,104,279,16145.0,3654480.4355109693,0
2000,FLA KEYS,LUT ANAL,0.16245382534167774,0.0012948965880074915,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,LUT APOD,0.6557654642424247,0.02203764514970871,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,LUT BUCC,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,LUT CYAN,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,LUT GRIS,2.0326643587978612,0.23285264780630688,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,LUT JOCU,0.003155362857437803,6.009434382673008e-6,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,LUT MAHO,0.07896496406820627,8.870547187595037e-4,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,LUT SPE.,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,LUT SYNA,0.1373643767335317,0.004175114546701004,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,OCY CHRY,3.101956766877345,0.12107185660813448,152,344,16145.0,3654480.4355109693,0
2000,FLA KEYS,RHO AURO,0.0,0.0,152,344,16145.0,3654480.4355109693,0
2001,FLA KEYS,LUT ANAL,0.1488158357658296,6.812184412363181e-4,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,LUT APOD,0.9614914076211829,0.054254198637210274,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,LUT BUCC,0.002623545547051276,6.899818372258116e-6,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,LUT CYAN,0.0,0.0,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,LUT GRIS,3.0302653226809713,0.4484735772398394,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,LUT JOCU,0.01820211580716461,6.101772947259344e-5,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,LUT MAHO,0.08001743186918484,7.778898809859531e-4,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,LUT SPE.,0.0,0.0,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,LUT SYNA,0.3064929157633942,0.026311142228542674,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,OCY CHRY,3.04792023864075,0.15584960770324333,207,499,16145.0,3654480.4355109693,0
2001,FLA KEYS,RHO AURO,0.0,0.0,207,499,16145.0,3654480.4355109693,0
2002,FLA KEYS,LUT ANAL,0.21891819329632894,0.0015697779252603324,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,LUT APOD,0.6966786817384123,0.046977700337852854,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,LUT BUCC,0.016324283403874606,2.68073194434891e-4,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,LUT CYAN,0.0040810708509686515,1.6754574652180688e-5,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,LUT GRIS,2.2270579389242258,0.43298650550484014,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,LUT JOCU,0.009953778259523073,2.6029578140662352e-5,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,LUT MAHO,0.01922155386680007,1.8609173392513995e-4,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,LUT SPE.,0.021150235711090464,1.4183320241625944e-4,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,LUT SYNA,0.31375741543649566,0.02151298010758853,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,OCY CHRY,4.655286305728269,0.5242649763087056,275,516,16145.0,3654480.4355109693,0
2002,FLA KEYS,RHO AURO,0.0,0.0,275,516,16145.0,3654480.4355109693,0
2003,FLA KEYS,LUT ANAL,0.17073203043472476,0.001148025472536224,158,295,16145.0,3654480.4355109693,0
2003,FLA KEYS,LUT APOD,0.2124225202970281,0.0020840332953329997,158,295,16145.0,3654480.4355109693,0
2003,FLA KEYS,LUT BUCC,0.0,0.0,158,295,16145.0,3654480.4355109693,0
2003,FLA KEYS,LUT CYAN,0.0,0.0,158,295,16145.0,3654480.4355109693,0
2003,FLA KEYS,LUT GRIS,1.562172201885625,0.14329231842753565,158,295,16145.0,3654480.4355109693,0
