Latin_Name,Common_Name,RVC_CODE,Trophic_Level
Hypoatherina harringtonensis,reef silverside,HYP HARR,2
Atherinomorus stipes,hardhead silverside,ATH STIP,2
Jenkinsia sp.,herring species,JEN SPE.,2
Harengula jaguana,scaled sardine,HAR JAGU,2
Anchoa lyolepis,dusky anchovy,ANC LYOL,2
Inermia vittata,boga,INE VITT,2
Hemiramphus brasiliensis,ballyhoo,HEM BRAS,2
Sardinella aurita,Spanish sardine,SAR AURI,2
Harengula humeralis,redear sardine,HAR HUME,2
Chriodorus atherinoides,hardhead halfbeak,CHR ATHE,2
Scarus iseri,striped parrotfish,SCA ISER,2
Scarus coelestinus,midnight parrotfish,SCA COEL,2
Sparisoma aurofrenatum,redband parrotfish,SPA AURO,2
Sparisoma viride,stoplight parrotfish,SPA VIRI,2
Sparisoma atomarium,greenblotch parrotfish,SPA ATOM,2
Scarus taeniopterus,princess parrotfish,SCA TAEN,2
Sparisoma rubripinne,yellowtail parrotfish,SPA RUBR,2
Sparisoma chrysopterum,redtail parrotfish,SPA CHRY,2
Scarus vetula,queen parrotfish,SCA VETU,2
Scarus coeruleus,blue parrotfish,SCA COER,2
Scarus guacamaia,rainbow parrotfish,SCA GUAC,2
Cryptotomus roseus,bluelip parrotfish,CRY ROSE,2
Sparisoma radians,bucktooth parrotfish,SPA RADI,2
Scarus sp.,parrotfish species,SCA SPE.,2
Nicholsina usta,emerald parrotfish,NIC USTA,2
Sparisoma sp.,parrotfish species,SPA SPE.,2
Coryphopterus personatus,masked goby,COR PERS,2
Acanthurus coeruleus,blue tang,ACA COER,2
Kyphosus sectatrix,Bermuda chub,KYP SECT,2
Acanthurus bahianus,ocean surgeon,ACA BAHI,2
Acanthurus chirurgus,doctorfish,ACA CHIR,2
Coryphopterus glaucofraenum,bridled goby,COR GLAU,2
Elacatinus oceanops,neon goby,ELA OCEA,2
Gnatholepis thompsoni,goldspot goby,GNA THOM,2
Ptereleotris calliura,blue dartfish,PTE CALL,2
Acanthurus sp.,surgeonfish species,ACA SPE.,2
Malacoctenus triangulatus,saddled blenny,MAL TRIA,2
Coryphopterus dicrus,colon goby,COR DICR,2
Parablennius marmoreus,seaweed blenny,PAR MARM,2
Malacoctenus macropus,rosy blenny,MAL MACR,2
Ophioblennius macclurei,redlip blenny,OPH MACC,2
Ctenogobius saepepallens,dash goby,CTE SAEP,2
Microgobius carri,Seminole goby,MIC CARR,2
Ptereleotris helenae,hovering dartfish,PTE HELE,2
Hemiemblemaria simula,wrasse blenny,HEM SIMU,2
Scartella cristata,molly miller,SCA CRIS,2
Coryphopterus eidolon,pallid goby,COR EIDO,2
goby species,goby species,GOB SPE.,2
Tylosurus crocodilus,houndfish,TYL CROC,2
Microgobius microlepis,banner goby,MIC MICR,2
Acanthemblemaria aspera,roughhead blenny,ACA ASPE,2
Coryphopterus sp.,goby species,COR SPE.,2
blenny species,blenny species,BLE SPE.,2
Strongylura notata,redfin needlefish,STR NOTA,2
Melichthys niger,black durgon,MEL NIGE,2
Hypleurochilus bermudensis,barred blenny,HYP BERM,2
Emblemaria pandionis,sailfin blenny,EMB PAND,2
Elacatinus evelynae,sharknose goby,ELA EVEL,2
Acanthemblemaria chaplini,papillose blenny,ACA CHAP,2
Emblemariopsis bahamensis,blackhead blenny,EMB BAHA,2
Coryphopterus lipernes,peppermint goby,COR LIPE,2
Nes longus,orangespotted goby,NES LONG,2
Enneanectes boehlkei,roughhead triplefin,ENN BOEH,2
Acanthemblemaria maria,secretary blenny,ACA MARI,2
Labrisomus nuchipinnis,hairy blenny,LAB NUCH,2
Malacoctenus versicolor,barfin blenny,MAL VERS,2
Malacoctenus gilli,dusky blenny,MAL GILL,2
Elacatinus macrodon,tiger goby,ELA MACR,2
Priolepis hipoliti,rusty goby,PRI HIPO,2
Gobiosoma dilepis,orangeside goby,GOB DILE,2
Elacatinus saucrum,leopard goby,ELA SAUC,2
Elacatinus xanthiprora,yellowprow goby,ELA XANT,2
Strongylura timucu,timucu,STR TIMU,2
Malacoctenus aurolineatus,goldline blenny,MAL AURO,2
Paraclinus marmoratus,marbled blenny,PAR MARN,2
Chaenopsis limbaughi,yellowface pikeblenny,CHA LIMB,2
Oxyurichthys stigmalophius,spotfin goby,OXY STIG,2
Elacatinus horsti,yellowline goby,ELA HORS,2
Paraclinus nigripinnis,blackfin blenny,PAR NIGR,2
Coryphopterus punctipectophorus,spotted goby,COR PUNC,2
Acanthemblemaria spinosa,Spinyhead blenny,ACA SPIN,2
Bollmannia boqueronensis,White-eye goby,BOL BOQU,2
Elacatinus randalli,Yellownose goby,ELA RAND,2
Labrisomus kalisherae,Downy blenny,LAB KALI,2
Labrisomus nigricinctus,Spotcheek blenny,LAB NIGR,2
Enneanectes altivelis,Lofty triplefin,ENN ALTI,2
Haemulon sciurus,bluestriped grunt,HAE SCIU,3
Haemulon aurolineatum,tomtate,HAE AURO,3
Haemulon plumierii,white grunt,HAE PLUM,3
Haemulon sp.,grunt species,HAE SPE.,3
Haemulon flavolineatum,French grunt,HAE FLAV,3
