svg,svg_id,label,status_text,status_color
TODO,biodiversity-icon,All Fish,,
TODO,cyano,,,
TODO,diadema,,,
TODO,exploited-reef-fish,,,
TODO,jacks,,,
TODO,trophic-pyramid,Trophic Level Pyramid,,
TODO,other-biota,,,
TODO,other-reef-fish,,,
TODO,soft-coral,,,
TODO,stony-coral,Stony Coral,,
seagrass.svg,anemone,Anemone,,
seagrass.svg,lionfish,,,
seagrass.svg,long-spinned-black-sea-urchin,,,
seagrass.svg,mangroves,,,
seagrass.svg,other corals,,,
seagrass.svg,queen-conch,Queen Conch,,
seagrass.svg,seagrass,,,
seagrass.svg,snapper,Snapper,,
seagrass.svg,tarpon,,,
seagrass.svg,yellowtail-snapper,Yellowtail Snapper,,
pelagic.svg,forage-fish,Forage Fish,,
pelagic.svg,macroalgae,Macroalgae,,
pelagic.svg,mahi,,,
pelagic.svg,micro-organisms,,,
pelagic.svg,sailfish,,,
pelagic.svg,sea-turtle,Sea Turtle,,
mangroves.svg,anemone,Anemone,,
mangroves.svg,aquatic-crabs,,,
mangroves.svg,carib-spiny-lobster,Caribbean Spiny Lobster,,
mangroves.svg,grouper-snapper-complex,Grouper,,
mangroves.svg,mangroves,,,
mangroves.svg,seagrass,,,
mangroves.svg,small-mangrove-fish,,,
mangroves.svg,terrestrial-crabs,,,
corals2.svg,carib-spiny-lobster,Caribbean Spiny Lobster,,
corals2.svg,forage-fish,Forage Fish,,
corals2.svg,lionfish,,,
corals2.svg,micro-organisms,,,
corals2.svg,parrotfish,Parrotfish,,
corals2.svg,queen-conch,Queen Conch,,
corals2.svg,rays,Rays,,
corals2.svg,sea-bass-and-hamlets,Sea Bass and Hamlets,,
corals2.svg,sharks,Sharks,,
corals2.svg,snapper,Snapper,,
corals2.svg,sponge,Vase Sponge,,
corals.svg,anemone,Anemone,,
corals.svg,carib-spiny-lobster,Caribbean Spiny Lobster,,
corals.svg,grey-snapper,Grey Snapper,,
corals.svg,higher-level-reef-fish,Higher Level Reef Fish,,
corals.svg,lionfish,Lionfish,,
corals.svg,long-spinned-black-sea-urchin,Long-spined Black Sea Urchin,,
corals.svg,needlefish,,,
corals.svg,other corals,,,
